dis_no,name,admin_level,admin1,admin2,geom_type_a,geom_type_b,batch_number,area_calculation_method,area_a,area_b,intersection_area,union_area,a_in_b,b_in_a,jaccard,a_contains_b,b_contains_a,a_contains_b_properly,b_contains_a_properly
2000-0012-MOZ,"['Chibuto', 'Mabalane', 'Magude', 'Marracuene', 'Matutuine', 'Chokwe', 'Manhica', 'Manica', 'Tete', 'Inhambane', 'Sofala']","['AdminAdmin2', 'AdminAdmin2', 'AdminAdmin2', 'AdminAdmin2', 'AdminAdmin2', 'AdminAdmin2', 'AdminAdmin2', 'AdminAdmin1', 'AdminAdmin1', 'AdminAdmin1', 'AdminAdmin1']","['Gaza', 'Gaza', 'Maputo', 'Maputo', 'Maputo', 'Gaza', 'Maputo', 'Manica', 'Tete', 'Inhambane', 'Sofala']","['Chibuto', 'Mabalane', 'Magude', 'Marracuene', 'Matutuine', 'Chokwe', 'Manhica', None, None, None, None]",gdis_gadm,GAUL,1,geodetic,332215309103.69867,332366069188.88855,331224723714.07385,333356654578.5133,0.9970182428007386,0.9965659988169068,0.9936046548489185,False,False,False,False
2000-0019-BRA,"['Barra Mansa', 'Resende', 'Volta Redonda', 'Campos Do Jordao', 'Minas Gerais']","['AdminAdmin2', 'AdminAdmin2', 'AdminAdmin2', 'AdminAdmin2', 'AdminAdmin1']","['Rio De Janeiro', 'Rio De Janeiro', 'Rio De Janeiro', 'Sao Paulo', 'Minas Gerais']","['Barra Mansa', 'Resende', 'Volta Redonda', 'Campos Do Jordao', None]",gdis_gadm,GAUL,1,geodetic,590890228200.0198,5417078349.902328,2349521784.073587,593957784765.8485,0.003976240716030695,0.43372490340959347,0.003955705008563565,False,False,False,False
2000-0048-BWA,"['Serowe', 'Palapye', 'Mahalapye', 'Selibe Phikwe', 'South-East', 'Gaborone', 'Kweneng', 'Ngwaketse North', 'North-East', 'Kgatleng', 'Kgalagadi', 'Lobatse']","['AdminAdmin2', 'AdminAdmin2', 'AdminAdmin2', 'AdminAdmin1', 'AdminAdmin1', 'AdminAdmin1', 'AdminAdmin1', 'AdminAdmin2', 'AdminAdmin1', 'AdminAdmin1', 'AdminAdmin1', 'AdminAdmin1']","['Central', 'Central', 'Central', 'Selibe Phikwe', 'South-East', 'Gaborone', 'Kweneng', 'Southern', 'North-East', 'Kgatleng', 'Kgalagadi', 'Lobatse']","['Serowe', 'Palapye', 'Mahalapye', None, None, None, None, 'Ngwaketse North', None, None, None, None]",gdis_gadm,GAUL,1,geodetic,221624540685.48715,304007174759.5079,206825459929.9982,318806255514.9968,0.933224539531068,0.6803308510518293,0.6487496915513599,False,False,False,False
2000-0050-MNG,"['Zavkhan', 'Omnogovi', 'Hovsgol', 'Govi-Altay', 'Dornogovi', 'Dundgovi', 'Bayan-Olgiy', 'Bulgan', 'Tov', 'Bayankhongor', 'Ovorhangay']","['AdminAdmin2', 'AdminAdmin1', 'AdminAdmin1', 'AdminAdmin1', 'AdminAdmin1', 'AdminAdmin1', 'AdminAdmin1', 'AdminAdmin1', 'AdminAdmin1', 'AdminAdmin2', 'AdminAdmin1']","['Uvs', 'Omnogovi', 'Hovsgol', 'Govi-Altay', 'Dornogovi', 'Dundgovi', 'Bayan-Olgiy', 'Bulgan', 'Tov', 'Bayanhongor', 'Ovorhangay']","['Zavkhan', None, None, None, None, None, None, None, None, 'Bayankhongor', None]",gdis_gadm,GAUL,1,geodetic,827199351541.8422,1090976301524.3528,821677725112.6698,1096497927953.525,0.9933249144612113,0.753158179480701,0.7493655064594855,False,False,False,False
2000-0067-USA,"['Colquitt', 'Mitchell', 'Alabama', 'Arkansas', 'Los Angeles', 'Florida']","['AdminAdmin2', 'AdminAdmin2', 'AdminAdmin1', 'AdminAdmin1', 'AdminAdmin2', 'AdminAdmin1']","['Georgia', 'Georgia', 'Alabama', 'Arkansas', 'California', 'Florida']","['Colquitt', 'Mitchell', None, None, 'Los Angeles', None]",gdis_gadm,GAUL,1,geodetic,432107883531.7726,18712305827.91332,13771178326.588295,437049011033.0976,0.03186976875781927,0.7359423500895171,0.03150945998947795,False,False,False,False
2000-0083-ZWE,"['Chimanimani', 'Mutare', 'Chiredzi', 'Harare', 'Matabeleland South', 'Midlands']","['AdminAdmin2', 'AdminAdmin2', 'AdminAdmin2', 'AdminAdmin1', 'AdminAdmin1', 'AdminAdmin1']","['Manicaland', 'Manicaland', 'Masvingo', 'Harare', 'Matabeleland South', 'Midlands']","['Chimanimani', 'Mutare', 'Chiredzi', None, None, None]",gdis_gadm,GAUL,1,geodetic,131609648370.75252,82961123899.66132,82404201966.68987,132166570303.72395,0.6261258424956211,0.9932869528907898,0.6234874808154723,False,False,False,False
2000-0097-AUS,"['Cairns', 'Mareeba', 'New South Wales']","['AdminAdmin2', 'AdminAdmin2', 'AdminAdmin1']","['Queensland', 'Queensland', 'New South Wales']","['Cairns', 'Mareeba', None]",gdis_gadm,GAUL,1,geodetic,854289935997.7686,869679688211.3737,854042600255.9086,869927023953.2335,0.9997104779871121,0.9820197158017739,0.9817405101118242,False,False,False,False
2000-0107-MDG,"['Ambatolampy', 'Andapa', 'Antalaha', 'Antananarivo-Nord', 'Antanifotsy', 'Antsirabe Rural', 'Mahabo', 'Mahanoro', 'Manjakandriana', 'Marolambo', 'Morondava', 'Vatomandry', 'Ampasimanolotra', 'Andramasina', 'Sambava', 'Maroansetra', 'Morombe', 'Ambositra']","['AdminAdmin3', 'AdminAdmin3', 'AdminAdmin3', 'AdminAdmin3', 'AdminAdmin3', 'AdminAdmin3', 'AdminAdmin3', 'AdminAdmin3', 'AdminAdmin3', 'AdminAdmin3', 'AdminAdmin3', 'AdminAdmin3', 'AdminAdmin3', 'AdminAdmin3', 'AdminAdmin3', 'AdminAdmin3', 'AdminAdmin3', 'AdminAdmin3']","['Antananarivo', 'Antsiranana', 'Antsiranana', 'Antananarivo', 'Antananarivo', 'Antananarivo', 'Toliary', 'Toamasina', 'Antananarivo', 'Toamasina', 'Toliary', 'Toamasina', 'Toamasina', 'Antananarivo', 'Antsiranana', 'Toamasina', 'Toliary', 'Fianarantsoa']","['Vakinankaratra', 'Sava', 'Sava', 'Analamanga', 'Vakinankaratra', 'Vakinankaratra', 'Menabe', 'Atsinanana', 'Analamanga', 'Atsinanana', 'Menabe', 'Atsinanana', 'Atsinanana', 'Analamanga', 'Sava', 'Analanjirofo', 'Atsimo-Andrefana', ""Amoron'i Mania""]",gdis_gadm,GAUL,1,geodetic,78715526824.12534,96011063702.20053,77534123144.36124,97192467381.96463,0.984991478461375,0.8075540479881611,0.7977379855956691,False,False,False,False
2000-0178-MDG,"['Andapa', 'Antalaha', 'Bealanana', 'Analalava', 'Sambava', 'Maroansetra']","['AdminAdmin3', 'AdminAdmin3', 'AdminAdmin3', 'AdminAdmin3', 'AdminAdmin3', 'AdminAdmin3']","['Antsiranana', 'Antsiranana', 'Mahajanga', 'Mahajanga', 'Antsiranana', 'Toamasina']","['Sava', 'Sava', 'Sofia', 'Sofia', 'Sava', 'Analanjirofo']",gdis_gadm,GAUL,1,geodetic,37700648668.25312,29331855503.15556,28813256610.653587,38219247560.75509,0.7642642137061316,0.9823196015524425,0.7538938741494242,False,False,False,False
2000-0178-MOZ,"['Angoche', 'Moma', 'Mongincual']","['AdminAdmin2', 'AdminAdmin2', 'AdminAdmin2']","['Nampula', 'Nampula', 'Nampula']","['Angoche', 'Moma', 'Mongincual']",gdis_gadm,GAUL,1,geodetic,13102165347.188484,13258668655.034143,13014946449.36501,13345887552.857616,0.9933431692004872,0.9816178975423301,0.9752027654824841,False,False,False,False
2000-0179-RUS,"['Abinskiy Rayon', 'Severskiy Rayon', 'Krymskiy Rayon']","['AdminAdmin2', 'AdminAdmin2', 'AdminAdmin2']","['Krasnodar', 'Krasnodar', 'Krasnodar']","['Abinskiy Rayon', 'Severskiy Rayon', 'Krymskiy Rayon']",gdis_gadm,GAUL,1,geodetic,5039632345.8783245,75198636259.91382,4992175180.837372,75246093424.95477,0.9905832088962272,0.06638651216469671,0.06634464267326011,False,False,False,False
2000-0230-IDN,"['Banggai', 'Banggai Kepulauan']","['AdminAdmin2', 'AdminAdmin2']","['Sulawesi Tengah', 'Sulawesi Tengah']","['Banggai', 'Banggai Kepulauan']",gdis_gadm,GAUL,1,geodetic,12215133874.29728,11674158560.124846,11271248793.91174,12618043640.510387,0.922728224667956,0.9654870401033171,0.893264369266029,False,False,False,False
2000-0235-KAZ,"['Taranovskiy', 'Zhitikarinskiy', 'Denisovskiy']","['AdminAdmin2', 'AdminAdmin2', 'AdminAdmin2']","['Qostanay', 'Qostanay', 'Qostanay']","['Taranovskiy', 'Zhitikarinskiy', 'Denisovskiy']",gdis_gadm,GAUL,1,geodetic,21799146428.009502,29753951758.986477,21384339649.283382,30168758537.712597,0.9809714210555905,0.7187058654427222,0.7088239850026241,False,False,False,False
2000-0248-GBR,"['Aberdeen', 'Aberdeenshire', 'Edinburgh', 'Moray']","['AdminAdmin2', 'AdminAdmin2', 'AdminAdmin2', 'AdminAdmin2']","['Scotland', 'Scotland', 'Scotland', 'Scotland']","['Aberdeen', 'Aberdeenshire', 'Edinburgh', 'Moray']",gdis_gadm,GAUL,1,geodetic,9075464497.813845,10510620820.440214,8969389961.403994,10616695356.850065,0.9883119440954892,0.8533644315244483,0.84483821565218,False,False,False,False
2000-0259-SOM,"['Beled Weyn', 'Jawhar']","['AdminAdmin2', 'AdminAdmin2']","['Hiiraan', 'Shabeellaha Dhexe']","['Beled Weyn', 'Jawhar']",gdis_gadm,GAUL,1,geodetic,19561156518.09276,81429779641.60869,19534277618.05972,81456658541.64172,0.9986259043524253,0.2398910779819692,0.23981191921926845,False,False,False,False
2000-0283-BGD,"['Chandpur', 'Comilla', 'Kishoreganj', 'Tangail', 'Mymensingh', ""Cox'S Bazar""]","['AdminAdmin2', 'AdminAdmin2', 'AdminAdmin2', 'AdminAdmin2', 'AdminAdmin2', 'AdminAdmin2']","['Chittagong', 'Chittagong', 'Dhaka', 'Dhaka', 'Dhaka', 'Chittagong']","['Chandpur', 'Comilla', 'Kishoreganj', 'Tangail', 'Mymensingh', ""Cox'S Bazar""]",gdis_gadm,GAUL,1,geodetic,17087918124.568163,22882752493.603195,16664247759.08355,23306422859.087807,0.9752064375311185,0.7282448981494682,0.7150066683264398,False,False,False,False
