dis_no,name,admin_level,admin1,admin2,geom_type_a,geom_type_b,batch_number,area_calculation_method,area_a,area_b,intersection_area,union_area,a_in_b,b_in_a,jaccard,a_contains_b,b_contains_a,a_contains_b_properly,b_contains_a_properly
2010-0193-CZE,Ostrava,AdminAdmin2,Moravskoslezsky,Ostrava,gdis_gadm,GAUL,3,geodetic,208717312.9891634,5566324481.469227,208717312.9891634,5566324481.469227,1.0,0.037496433002424,0.037496433002424,False,True,False,True
2013-0205-CZE,Jihocesky,AdminAdmin1,Jihocesky,,gdis_gadm,GAUL,3,geodetic,9983264025.089907,31402265185.276043,9905084901.857151,31480444308.5088,0.9921689817041525,0.3154258090432746,0.31464247469912365,False,False,False,False
2013-0205-CZE,Karlovarsky,AdminAdmin1,Karlovarsky,,gdis_gadm,GAUL,3,geodetic,1637554559.2158647,31402265185.276043,36437207.23552013,33003382537.25639,0.022250988237587588,0.0011603369062880497,0.0011040446291948232,False,False,False,False
2013-0205-CZE,Kralovehradecky,AdminAdmin1,Kralovehradecky,,gdis_gadm,GAUL,3,geodetic,4823452195.853617,31402265185.276043,64791401.59761999,36160925979.53204,0.013432578776942499,0.0020632715893374315,0.0017917517276602232,False,False,False,False
2013-0205-CZE,Olomoucky,AdminAdmin1,Olomoucky,,gdis_gadm,GAUL,3,geodetic,5061928304.770725,31402265185.276043,29341678.07970862,36434851811.96706,0.0057965416167698215,0.0009343809405655999,0.000805318990485679,False,False,False,False
2013-0205-CZE,Prague,AdminAdmin1,Prague,,gdis_gadm,GAUL,3,geodetic,475862613.4478221,31402265185.276043,475862613.4478221,31402265185.276043,1.0,0.015153767113301925,0.015153767113301925,False,True,False,True
2013-0205-CZE,Stredocesky,AdminAdmin1,Stredocesky,,gdis_gadm,GAUL,3,geodetic,10841657592.854935,31402265185.276043,10793021482.745747,31450901295.385235,0.995513959955603,0.3437020042683545,0.3431704987204738,False,False,False,False
2013-0205-CZE,Ustecky,AdminAdmin1,Ustecky,,gdis_gadm,GAUL,3,geodetic,5436746586.344025,31402265185.276043,5345096242.639532,31493915528.980537,0.9831424286107616,0.17021371582919284,0.16971837743455565,False,False,False,False
2002-0681-DNK,Varde,AdminAdmin2,Syddanmark,Varde,gdis_gadm,GAUL,3,geodetic,1248913651.3719811,245835951.34879476,243027698.75635836,1251721903.9644175,0.19459127417606717,0.988576721276816,0.19415470639816085,False,False,False,False
2010-0652-DNK,Bornholm,AdminAdmin2,Hovedstaden,Bornholm,gdis_gadm,GAUL,3,geodetic,583351837.0525928,596216139.2716429,576159565.7776366,603408410.546599,0.9876707831909893,0.9663602305054875,0.9548417882603277,False,False,False,False
2004-0158-DJI,Djibouti,AdminAdmin1,Djibouti,,gdis_gadm,GAUL,3,geodetic,788388934.8535881,790677323.0803947,765199182.0794114,813867075.8545715,0.9705858977098869,0.9677768158295937,0.9402016677919326,False,False,False,False
2011-0432-DMA,Saint Joseph,AdminAdmin1,Saint Joseph,,gdis_gadm,GAUL,3,geodetic,123453297.86856508,173261380.25910297,107000585.65168455,189714092.47598347,0.8667292611786122,0.6175674318862692,0.5640096856021917,False,False,False,False
2011-0432-DMA,Saint Paul,AdminAdmin1,Saint Paul,,gdis_gadm,GAUL,3,geodetic,64338169.24716568,173261380.25910297,49664193.22354087,187935356.28272778,0.7719242528140284,0.2866431812402208,0.26426210695994123,False,False,False,False
2002-0840-DOM,San Pedro De Macoris,AdminAdmin1,San Pedro De Macoris,,gdis_gadm,GAUL,3,geodetic,1253821010.6097941,284646992.75256443,274131883.86598706,1264336119.4963715,0.21863717512012612,0.9630591253225785,0.21681883451623862,False,False,False,False
2003-0238-DOM,Maria Trinidad Sanchez,AdminAdmin1,Maria Trinidad Sanchez,,gdis_gadm,GAUL,3,geodetic,1230116066.5417852,1218161586.590992,1189229430.1775222,1259048222.955255,0.9667619686659266,0.9762493278954593,0.9445463712153509,False,False,False,False
2003-0477-DOM,Duarte,AdminAdmin1,Duarte,,gdis_gadm,GAUL,3,geodetic,1618939076.1765535,2307021417.9081507,716811453.9421989,3209149040.1425056,0.442766169827151,0.310708625580145,0.22336496216778018,False,False,False,False
2003-0477-DOM,Nagua,AdminAdmin2,Maria Trinidad Sanchez,Nagua,gdis_gadm,GAUL,3,geodetic,552952715.0473154,2307021417.9081507,534407832.21761197,2325566300.7378545,0.966462081973652,0.23164407060519468,0.2297968593920781,False,False,False,False
2003-0477-DOM,Puerto Plata,AdminAdmin1,Puerto Plata,,gdis_gadm,GAUL,3,geodetic,1865454851.8338473,2307021417.9081507,538778103.3485489,3633698166.393449,0.28881862395056074,0.23353840548089755,0.14827266291170843,False,False,False,False
2003-0477-DOM,Santiago,AdminAdmin1,Santiago,,gdis_gadm,GAUL,3,geodetic,2763586256.7772326,2307021417.9081507,430470564.295056,4640137110.3903265,0.15576519938156408,0.18659149020184532,0.09277108715842343,False,False,False,False
2003-0571-DOM,Duarte,AdminAdmin1,Duarte,,gdis_gadm,GAUL,3,geodetic,1618939076.1765535,18866897215.32948,1610810228.6864686,18875026062.81956,0.9949789046359405,0.08537759072422754,0.08534082142855834,False,False,False,False
2003-0571-DOM,Monte Cristi,AdminAdmin1,Monte Cristi,,gdis_gadm,GAUL,3,geodetic,1963497758.8254225,18866897215.32948,1946553115.446131,18883841858.70877,0.991370174321244,0.10317293263592615,0.10308035462330606,False,False,False,False
2003-0571-DOM,Santiago,AdminAdmin1,Santiago,,gdis_gadm,GAUL,3,geodetic,2763586256.7772326,18866897215.32948,2749130537.4319253,18881352934.674786,0.9947692172408742,0.14571185214271684,0.14560029394838897,False,False,False,False
2003-0571-DOM,Valverde,AdminAdmin1,Valverde,,gdis_gadm,GAUL,3,geodetic,799260772.7862052,18866897215.32948,799260772.7862052,18866897215.32948,1.0,0.042363127527763306,0.042363127527763306,False,True,False,True
2003-0599-DOM,Bahoruco,AdminAdmin1,Bahoruco,,gdis_gadm,GAUL,3,geodetic,1299240294.7183752,4961663658.794722,1261422435.4749415,4999481518.038156,0.9708923288500445,0.25423376557155913,0.2523106507992324,False,False,False,False
2003-0599-DOM,Barahona,AdminAdmin1,Barahona,,gdis_gadm,GAUL,3,geodetic,1600518674.2086926,4961663658.794722,1535600203.1077693,5026582129.895645,0.9594391042434919,0.3094930065212833,0.30549589431251356,False,False,False,False
2003-0599-DOM,Pedernales,AdminAdmin1,Pedernales,,gdis_gadm,GAUL,3,geodetic,2061818312.6885495,4961663658.794722,2020901761.1577785,5002580210.325492,0.9801551129510451,0.407303255547292,0.40397188574539394,False,False,False,False
2004-0231-DOM,Duarte,AdminAdmin1,Duarte,,gdis_gadm,GAUL,3,geodetic,1618939076.1765535,7622423163.46838,1587603152.1653707,7653759087.479563,0.9806441610605948,0.20828063702553273,0.20742789706596051,False,False,False,False
2004-0231-DOM,Independencia,AdminAdmin1,Independencia,,gdis_gadm,GAUL,3,geodetic,1982983847.8304455,7622423163.46838,521147505.48953676,9084259505.80929,0.2628097581630414,0.06837031929520986,0.05736818781500774,False,False,False,False
