dis_no,name,admin_level,admin1,admin2,geom_type_a,geom_type_b,batch_number,area_calculation_method,area_a,area_b,intersection_area,union_area,a_in_b,b_in_a,jaccard,a_contains_b,b_contains_a,a_contains_b_properly,b_contains_a_properly
2021-0586-FRA,Gard,Admin2,Occitanie,Gard,llm_gadm,GAUL,3,geodetic,5876509108.37516,5867029843.977674,5748296914.432642,5995242037.920191,0.9781822521537844,0.9797626852594065,0.9588098158630445,False,False,False,False
2021-0588-GTM,Santa Rosa,Admin1,Santa Rosa,,llm_gadm,GAUL,3,geodetic,3019486692.667125,10075108113.0732,2881839264.536835,10212755541.203491,0.9544136331302373,0.28603556728065627,0.28218038245506005,False,False,False,False
2021-0607-MEX,Tlayacapan,Admin2,Morelos,Tlayacapan,llm_gadm,GAUL,3,geodetic,57271183.59011885,1428778541.2396946,32274779.134737704,1453774945.6950758,0.5635430789369291,0.022589070456457274,0.02220067090185445,False,False,False,False
2021-0607-MEX,Ayala,Admin2,Morelos,Ayala,llm_gadm,GAUL,3,geodetic,377069223.42008716,1428778541.2396946,236696322.09013623,1569151442.5696454,0.6277264422252685,0.1656634077698033,0.15084351686445374,False,False,False,False
2021-0607-MEX,Cuautla,Admin2,Morelos,Cuautla,llm_gadm,GAUL,3,geodetic,97177523.71913297,1428778541.2396946,97132331.26120174,1428823733.6976256,0.9995349494800685,0.0679827758169743,0.06798062558061997,False,False,False,False
2021-0607-MEX,Yautepec,Admin2,Morelos,Yautepec,llm_gadm,GAUL,3,geodetic,191997066.39558288,1428778541.2396946,78361797.5299348,1542413810.1053426,0.4081405981926899,0.05484530686046234,0.05080465243278838,False,False,False,False
2021-0607-MEX,Jonacatepec,Admin2,Morelos,Jonacatepec,llm_gadm,GAUL,3,geodetic,90331866.64367305,1428778541.2396946,90331866.64367305,1428778541.2396946,1.0,0.06322314063122453,0.06322314063122453,False,True,False,True
2021-0607-MEX,Jantetelco,Admin2,Morelos,Jantetelco,llm_gadm,GAUL,3,geodetic,102260322.64024006,1428778541.2396946,97060136.98817964,1433978726.8917549,0.9491475724132508,0.06793224715144755,0.06768589740418535,False,False,False,False
2021-0607-MEX,Yecapixtla,Admin2,Morelos,Yecapixtla,llm_gadm,GAUL,3,geodetic,176720100.50410295,1428778541.2396946,123193330.22639094,1482305311.5174067,0.6971098922814993,0.08622283067010579,0.0831092820549097,False,False,False,False
2021-0607-MEX,Tepalcingo,Admin2,Morelos,Tepalcingo,llm_gadm,GAUL,3,geodetic,368644062.9365138,1428778541.2396946,269280440.6759412,1528142163.5002673,0.7304618946821761,0.18846898445318003,0.17621426010466476,False,False,False,False
2021-0609-THA,Tak,Admin1,Tak,,llm_gadm,GAUL,3,geodetic,17209730753.130577,70134339339.66418,17074629697.106747,70269440395.68802,0.9921497286644502,0.2434560567315455,0.24298798454860765,False,False,False,False
