dis_no,name,admin_level,admin1,admin2,geom_type_a,geom_type_b,batch_number,area_calculation_method,area_a,area_b,intersection_area,union_area,a_in_b,b_in_a,jaccard,a_contains_b,b_contains_a,a_contains_b_properly,b_contains_a_properly
2017-0362-USA,Natchitoches,Admin2,Louisiana,Natchitoches,llm_gadm,GDIS,5,geodetic,3366357928.561046,1393455955812.1343,3366345478.636248,1393455968262.059,0.9999963016633816,0.002415824816417878,0.002415824794833531,False,False,False,False
2017-0362-USA,Newton,Admin2,Texas,Jasper,llm_gadm,GDIS,5,geodetic,2487223950.4807563,1393455955812.1343,1.9683723263234896,1395943179760.6467,7.913932824356336e-10,1.4125830946528068e-12,1.4100662225098543e-12,False,False,False,False
2017-0362-USA,Nueces,Admin2,Texas,Aransas,llm_gadm,GDIS,5,geodetic,730529073.1012087,1393455955812.1343,730524115.7920023,1393455960769.4436,0.9999932140836157,0.0005242534668892625,0.000524253465024197,False,False,False,False
2017-0362-USA,Orange,Admin2,Texas,Hardin,llm_gadm,GDIS,5,geodetic,2326261931.9563403,1393455955812.1343,0.0,1395782217744.0906,0.0,0.0,0.0,False,False,False,False
2017-0362-USA,Polk,Admin2,Texas,Angelina,llm_gadm,GDIS,5,geodetic,2245962559.802884,1393455955812.1343,2245948054.304762,1393455970317.6326,0.9999935415227387,0.0016117825934410521,0.001611782576662833,False,False,False,False
2017-0362-USA,Rapides,Admin2,Louisiana,Allen,llm_gadm,GDIS,5,geodetic,1979204611.489281,1393455955812.1343,4.080084968613647,1395435160419.5435,2.0614770928325235e-09,2.9280329612109566e-12,2.9238800084318876e-12,False,False,False,False
2017-0362-USA,Refugio,Admin2,Texas,Aransas,llm_gadm,GDIS,5,geodetic,730529073.1012087,1393455955812.1343,730524115.7920023,1393455960769.4436,0.9999932140836157,0.0005242534668892625,0.000524253465024197,False,False,False,False
2017-0362-USA,Sabine,Admin2,Texas,Jasper,llm_gadm,GDIS,5,geodetic,2487223950.4807563,1393455955812.1343,1.9683723263234896,1395943179760.6467,7.913932824356336e-10,1.4125830946528068e-12,1.4100662225098543e-12,False,False,False,False
2017-0362-USA,San Augustine,Admin2,Texas,Angelina,llm_gadm,GDIS,5,geodetic,2245962559.802884,1393455955812.1343,2245948054.304762,1393455970317.6326,0.9999935415227387,0.0016117825934410521,0.001611782576662833,False,False,False,False
2017-0362-USA,San Jacinto,Admin2,Texas,Liberty,llm_gadm,GDIS,5,geodetic,3053812521.7268357,1393455955812.1343,1.8337623456520582,1396509768332.0273,6.004829479889364e-10,1.3159815622470137e-12,1.3131038444810018e-12,False,False,False,False
2017-0362-USA,San Patricio,Admin2,Texas,Aransas,llm_gadm,GDIS,5,geodetic,730529073.1012087,1393455955812.1343,730524115.7920023,1393455960769.4436,0.9999932140836157,0.0005242534668892625,0.000524253465024197,False,False,False,False
2017-0362-USA,Trinity,Admin2,Texas,Angelina,llm_gadm,GDIS,5,geodetic,2245962559.802884,1393455955812.1343,2245948054.304762,1393455970317.6326,0.9999935415227387,0.0016117825934410521,0.001611782576662833,False,False,False,False
2017-0362-USA,Tyler,Admin2,Texas,Smith,llm_gadm,GDIS,5,geodetic,2449105573.388009,1393455955812.1343,1.0174293669995125,1395905061384.505,4.15428954167964e-10,7.301482065190457e-13,7.28867166646987e-13,False,False,False,False
2017-0362-USA,Vermillion,Admin2,Louisiana,Acadia,llm_gadm,GDIS,5,geodetic,1700835689.4127798,1393455955812.1343,1700818433.1531668,1393455973068.394,0.999989854246521,0.0012205756673248386,0.0012205756522094915,False,False,False,False
2017-0362-USA,Vernon,Admin2,Louisiana,Allen,llm_gadm,GDIS,5,geodetic,1979204611.489281,1393455955812.1343,4.080084968613647,1395435160419.5435,2.0614770928325235e-09,2.9280329612109566e-12,2.9238800084318876e-12,False,False,False,False
2017-0362-USA,Victoria,Admin2,Texas,Calhoun,llm_gadm,GDIS,5,geodetic,1429691814.564884,1393455955812.1343,786.3893013222057,1394885646840.3098,5.500411300609827e-07,5.643445693724005e-10,5.637661431985712e-10,False,False,False,False
2017-0362-USA,Walker,Admin2,Texas,Grimes,llm_gadm,GDIS,5,geodetic,2077164987.4072316,1393455955812.1343,2077109623.8847826,1393456011175.6567,0.9999733465936579,0.0014906173497778055,0.0014906172905539575,False,False,False,False
2017-0362-USA,Waller,Admin2,Texas,Austin,llm_gadm,GDIS,5,geodetic,1693963043.4254014,1393455955812.1343,1693964791.0363793,1393455954064.5232,1.0000010316700738,0.0012156572182786375,0.0012156572198032613,False,False,False,False
2017-0362-USA,Washington,Admin2,Texas,Austin,llm_gadm,GDIS,5,geodetic,1693963043.4254014,1393455955812.1343,1693964791.0363793,1393455954064.5232,1.0000010316700738,0.0012156572182786375,0.0012156572198032613,False,False,False,False
2017-0362-USA,Wharton,Admin2,Texas,Austin,llm_gadm,GDIS,5,geodetic,1693963043.4254014,1393455955812.1343,1693964791.0363793,1393455954064.5232,1.0000010316700738,0.0012156572182786375,0.0012156572198032613,False,False,False,False
2017-0362-USA,Willacy,Admin2,Texas,Cameron,llm_gadm,GDIS,5,geodetic,2567588553.944938,1393455955812.1343,760.9685440240852,1396023543605.1106,2.963747999479531e-07,5.461016122182185e-10,5.450972138041092e-10,False,False,False,False
2017-0362-USA,Wilson,Admin2,Texas,Atascosa,llm_gadm,GDIS,5,geodetic,3180664506.8740997,1393455955812.1343,3181120187.5167546,1393455500131.4915,1.0001432658621083,0.0022828997028921045,0.002282900449434211,False,False,False,False
2017-0381-USA,Beaufort,Admin2,South Carolina,Beaufort,llm_gadm,GDIS,5,geodetic,1544402770.194564,721630916888.6221,579.9269278453429,723175319078.8898,3.755023877432463e-07,8.036337056424232e-10,8.019174777479924e-10,False,False,False,False
2017-0381-USA,Broward,Admin2,Florida,Broward,llm_gadm,GDIS,5,geodetic,3166246566.5429964,721630916888.6221,3166407631.428096,721630755823.7369,1.0000508693437844,0.0043878491862299265,0.004387850165579018,False,False,False,False
2017-0381-USA,Camden,Admin2,Georgia,Brantley,llm_gadm,GDIS,5,geodetic,1157221440.1547172,721630916888.6221,44.82168374190883,722788138283.9551,3.873215806986457e-08,6.211164556967934e-11,6.201220159523446e-11,False,False,False,False
2017-0381-USA,Charleston,Admin2,South Carolina,Berkeley,llm_gadm,GDIS,5,geodetic,3211924043.607126,721630916888.6221,544.8921276534807,724842840387.3372,1.696466417809631e-07,7.550842333679841e-10,7.517383042126821e-10,False,False,False,False
2017-0381-USA,Chatham,Admin2,Georgia,Bryan,llm_gadm,GDIS,5,geodetic,1159199286.0264924,721630916888.6221,0.0,722790116174.6486,0.0,0.0,0.0,False,False,False,False
2017-0381-USA,Clay,Admin2,Florida,Baker,llm_gadm,GDIS,5,geodetic,1527130350.7603688,721630916888.6221,0.0,723158047239.3824,0.0,0.0,0.0,False,False,False,False
2017-0381-USA,Colleton,Admin2,South Carolina,Bamberg,llm_gadm,GDIS,5,geodetic,1021080960.5109164,721630916888.6221,311.4372727996339,722651997537.6957,3.050074233524055e-07,4.3157418219056394e-10,4.3096438377088744e-10,False,False,False,False
2017-0381-USA,Collier,Admin2,Florida,Broward,llm_gadm,GDIS,5,geodetic,3166246566.5429964,721630916888.6221,3166407631.428096,721630755823.7369,1.0000508693437844,0.0043878491862299265,0.004387850165579018,False,False,False,False
2017-0381-USA,Duval,Admin2,Florida,Clay,llm_gadm,GDIS,5,geodetic,1715903342.0853748,721630916888.6221,0.0,723346820230.7074,0.0,0.0,0.0,False,False,False,False
2017-0381-USA,Glynn,Admin2,Georgia,Brantley,llm_gadm,GDIS,5,geodetic,1157221440.1547172,721630916888.6221,44.82168374190883,722788138283.9551,3.873215806986457e-08,6.211164556967934e-11,6.201220159523446e-11,False,False,False,False
2017-0381-USA,McIntosh,Admin2,Georgia,Glynn,llm_gadm,GDIS,5,geodetic,1148858996.7380636,721630916888.6221,1148854906.1437037,721630920979.2164,0.9999964394287102,0.0015920256176067083,0.001592025608582246,False,False,False,False
2017-0381-USA,Monroe,Admin2,Florida,Collier,llm_gadm,GDIS,5,geodetic,5333170120.749787,721630916888.6221,5333175294.183497,721630911715.1884,1.0000009700485064,0.007390447345546075,0.007390447398528824,False,False,False,False
2017-0381-USA,Orange,Admin2,Florida,Brevard,llm_gadm,GDIS,5,geodetic,2751602320.506032,721630916888.6221,0.0,724382519209.128,0.0,0.0,0.0,False,False,False,False
2017-0381-USA,Polk,Admin2,Florida,Hardee,llm_gadm,GDIS,5,geodetic,1652677421.4465759,721630916888.6221,0.0,723283594310.0686,0.0,0.0,0.0,False,False,False,False
2017-0383-DOM,Dajabón,Admin2,Dominican Republic,Dajabón,llm_gadm,GDIS,5,geodetic,260403417.55740607,27982491208.82341,11.692501721378761,28242894614.688316,4.490149104437596e-08,4.1785063503180493e-10,4.139979942175554e-10,False,False,False,False
2017-0383-DOM,Duarte,Admin2,Dominican Republic,Arenoso,llm_gadm,GDIS,5,geodetic,139299042.77726746,27982491208.82341,139299042.77726746,27982491208.82341,1.0,0.0049780786756164095,0.0049780786756164095,False,True,False,True
2017-0383-DOM,El Seibo,Admin2,Dominican Republic,Miches,llm_gadm,GDIS,5,geodetic,408767331.1461957,27982491208.82341,408766175.6424764,27982492364.32713,0.9999971731994431,0.014607926527770503,0.014607925924553563,False,False,False,False
2017-0383-DOM,Espaillat,Admin2,Dominican Republic,Cayetano Germosén,llm_gadm,GDIS,5,geodetic,19243792.496202316,27982491208.82341,19243792.496202316,27982491208.82341,1.0,0.0006877083370666578,0.0006877083370666578,False,True,False,True
2017-0383-DOM,Hato Mayor,Admin2,Dominican Republic,Miches,llm_gadm,GDIS,5,geodetic,408767331.1461957,27982491208.82341,408766175.6424764,27982492364.32713,0.9999971731994431,0.014607926527770503,0.014607925924553563,False,False,False,False
2017-0383-DOM,Hermanas Mirabal,Admin2,Dominican Republic,San Francisco de Macorís,llm_gadm,GDIS,5,geodetic,754029839.9979192,27982491208.82341,754029839.9979192,27982491208.82341,1.0,0.026946487157660907,0.026946487157660907,False,True,False,True
2017-0383-DOM,La Altagracia,Admin2,Dominican Republic,Miches,llm_gadm,GDIS,5,geodetic,408767331.1461957,27982491208.82341,408766175.6424764,27982492364.32713,0.9999971731994431,0.014607926527770503,0.014607925924553563,False,False,False,False
2017-0383-DOM,La Romana,Admin2,Dominican Republic,La Romana,llm_gadm,GDIS,5,geodetic,168674688.5620804,27982491208.82341,168674684.70918703,27982491212.676304,0.9999999771578449,0.0060278651907876134,0.006027865189957639,False,False,False,False
2017-0383-DOM,La Vega,Admin2,Dominican Republic,Guayabal,llm_gadm,GDIS,5,geodetic,248241543.43686226,27982491208.82341,2.5099362417505118,28230732749.750336,1.0110863020753369e-08,8.969666864253606e-11,8.890793816794248e-11,False,False,False,False
2017-0383-DOM,María Trinidad Sánchez,Admin2,Dominican Republic,Arenoso,llm_gadm,GDIS,5,geodetic,139299042.77726746,27982491208.82341,139299042.77726746,27982491208.82341,1.0,0.0049780786756164095,0.0049780786756164095,False,True,False,True
2017-0383-DOM,Monseñor Nouel,Admin2,Dominican Republic,Concepción de la Vega,llm_gadm,GDIS,5,geodetic,628820891.0757335,27982491208.82341,628820891.0757335,27982491208.82341,1.0,0.022471940985635132,0.022471940985635132,False,True,False,True
2017-0383-DOM,Montecristi,Admin2,Dominican Republic,San Fernando de Monte Cristi,llm_gadm,GDIS,5,geodetic,586548710.0872868,27982491208.82341,586547111.6571455,27982492807.25355,0.9999972748552441,0.020961218473364376,0.020961217276007027,False,False,False,False
2017-0383-DOM,Puerto Plata,Admin2,Dominican Republic,San Felipe de Puerto Plata,llm_gadm,GDIS,5,geodetic,467569834.6636678,27982491208.82341,467569828.65031606,27982491214.836765,0.9999999871391366,0.01670937105495748,0.016709371051366686,False,False,False,False
2017-0383-DOM,Samaná,Admin2,Dominican Republic,Santa Bárbara de Samaná,llm_gadm,GDIS,5,geodetic,419155495.3898177,27982491208.82341,419153315.5199803,27982493388.693245,0.9999947993766958,0.014979127926530477,0.014979126759638426,False,False,False,False
2017-0383-DOM,San Juan,Admin2,Dominican Republic,Las Yayas de Viajama,llm_gadm,GDIS,5,geodetic,419108951.9897261,27982491208.82341,2.2536776494435387,28401600158.55946,5.377307353479733e-09,8.053884954792414e-11,7.935037592465868e-11,False,False,False,False
2017-0383-DOM,San Pedro de Macorís,Admin2,Dominican Republic,San Pedro de Macorís,llm_gadm,GDIS,5,geodetic,195092989.70616242,27982491208.82341,0.20543257194530362,28177584198.32414,1.05299822538326e-09,7.34146829216288e-12,7.290638207285411e-12,False,False,False,False
2017-0383-DOM,Santiago,Admin2,Dominican Republic,Moca,llm_gadm,GDIS,5,geodetic,333441655.6840969,27982491208.82341,333441655.6840969,27982491208.82341,1.0,0.011916081852603474,0.011916081852603474,False,True,False,True
2017-0383-DOM,Santiago Rodríguez,Admin2,Dominican Republic,El Pino,llm_gadm,GDIS,5,geodetic,88537737.52866836,27982491208.82341,1.7364093635712035,28071028944.61567,1.9612081944255207e-08,6.205342299986788e-11,6.18577027225169e-11,False,False,False,False
2017-0383-DOM,Sánchez Ramírez,Admin2,Dominican Republic,Hostos,llm_gadm,GDIS,5,geodetic,77325763.06715563,27982491208.82341,77325763.06715563,27982491208.82341,1.0,0.0027633623643477942,0.0027633623643477942,False,True,False,True
2017-0383-DOM,Valverde,Admin2,Dominican Republic,Guayubín,llm_gadm,GDIS,5,geodetic,774548861.6605569,27982491208.82341,774548859.8713355,27982491210.612633,0.9999999976899825,0.027679767826643883,0.027679767824874017,False,False,False,False
2017-0383-MTQ,Fort-de-France,Admin2,Fort-de-France,Fort-de-France,llm_gadm,GDIS,5,geodetic,43228009.7221769,361533319.04088944,43228004.816594265,361533323.9464721,0.9999998865184248,0.11956852256736308,0.11956852094495864,False,False,False,False
2017-0383-MTQ,Gros-Morne,Admin2,La Trinité,Le Lamentin,llm_gadm,GDIS,5,geodetic,76230450.06899425,361533319.04088944,76230378.80941212,361533390.30047154,0.9999990652084296,0.21085298309888406,0.21085294153897324,False,False,False,False
2017-0383-MTQ,Le Carbet,Admin2,St Pierre,Bellefontaine,llm_gadm,GDIS,5,geodetic,11845579.30956953,361533319.04088944,0.08330354370607296,373378898.2671554,7.032458398955265e-09,2.304173344992618e-10,2.2310726206725439e-10,False,False,False,False
2017-0383-MTQ,Le Marigot,Admin2,La Trinité,Gros-Morne,llm_gadm,GDIS,5,geodetic,45267286.315050945,361533319.04088944,45267287.180762954,361533318.17517745,1.0000000191244511,0.1252091710408667,0.12520917134068715,False,False,False,False
2017-0383-MTQ,Le Morne-Rouge,Admin2,St Pierre,L'Ajoupa-Bouillon,llm_gadm,GDIS,5,geodetic,10297126.219394652,361533319.04088944,0.12219981263281454,371830445.13808423,1.186737056817377e-08,3.3800428949950734e-10,3.286439134574739e-10,False,False,False,False
2017-0383-MTQ,Schoelcher,Admin2,Fort-de-France,Fort-de-France,llm_gadm,GDIS,5,geodetic,43228009.7221769,361533319.04088944,43228004.816594265,361533323.9464721,0.9999998865184248,0.11956852256736308,0.11956852094495864,False,False,False,False
2017-0383-USA,Monmouth,Admin2,New Jersey,Mercer,llm_gadm,GDIS,5,geodetic,590390003.1863949,150362749587.38565,126.18859705230332,150953139464.38345,2.1373769266290185e-07,8.392277834675194e-10,8.359454960661935e-10,False,False,False,False
2017-0383-USA,Nassau,Admin2,Florida,Baker,llm_gadm,GDIS,5,geodetic,1527130350.7603688,150362749587.38565,1527128545.4795566,150362751392.66647,0.9999988178606944,0.010156295689392419,0.010156295567454201,False,False,False,False
2017-0383-USA,Ocean,Admin2,New Jersey,Atlantic,llm_gadm,GDIS,5,geodetic,1492617164.728224,150362749587.38565,0.0,151855366752.11386,0.0,0.0,0.0,False,False,False,False
2017-0406-PHL,Central Luzon,Admin1,Aurora,,llm_gadm,GDIS,5,geodetic,3041144765.6180363,14126760985.467098,4.194019173237485,17167905746.891115,1.3790922486339304e-09,2.968846983078486e-10,2.442941634856638e-10,False,False,False,False
2017-0406-PHL,Cavite,Admin2,Calabarzon,Trece Martires City,llm_gadm,GDIS,5,geodetic,44331930.292791635,14126760985.467098,44331930.292791635,14126760985.467098,1.0,0.0031381524992458,0.0031381524992458,False,True,False,True
2017-0406-PHL,Laguna,Admin2,Calabarzon,Calauan,llm_gadm,GDIS,5,geodetic,79439850.61039288,14126760985.467098,79439850.61039288,14126760985.467098,1.0,0.005623359147374023,0.005623359147374023,False,True,False,True
2017-0406-PHL,Quezon,Admin2,Calabarzon,Quezon,llm_gadm,GDIS,5,geodetic,233588082.66540006,14126760985.467098,0.0,14360349068.132498,0.0,0.0,0.0,False,False,False,False
2017-0406-PHL,Rizal,Admin2,Calabarzon,Norzagaray,llm_gadm,GDIS,5,geodetic,238917715.7180491,14126760985.467098,0.4152393363312701,14365678700.769909,1.7380014499272257e-09,2.939381056694082e-11,2.8904957780311202e-11,False,False,False,False
2017-0408-HRV,Zadar,Admin2,Zadar,Zadar,llm_gadm,GDIS,5,geodetic,86834106.71492915,284184480.9492516,86834094.29458943,284184493.36959136,0.999999856964732,0.30555537024590684,0.30555535689154867,False,False,False,False
2017-0408-ITA,Livorno,Admin2,Tuscany,Livorno,llm_gadm,GDIS,5,geodetic,1217102381.6245089,122952147.64427209,122952134.93365812,1217102394.3351228,0.10102037165480658,0.9999998966214563,0.10102037059981651,False,False,False,False
2017-0408-ITA,Rosignano Marittimo,Admin2,Tuscany,Livorno,llm_gadm,GDIS,5,geodetic,1217102381.6245089,122952147.64427209,122952134.93365812,1217102394.3351228,0.10102037165480658,0.9999998966214563,0.10102037059981651,False,False,False,False
2017-0410-GTM,Cobán,Admin2,Alta Verapaz,Cobán,llm_gadm,GDIS,5,geodetic,1720634728.6659093,3170537198.3502192,2.1160523211581443,4891171924.900076,1.2298091430473574e-09,6.674112898783293e-10,4.3262685377827407e-10,False,False,False,False
2017-0410-GTM,Ixcán,Admin2,Quiché,Ixcán,llm_gadm,GDIS,5,geodetic,1217401482.809529,3170537198.3502192,1201544971.586364,3186393709.5733843,0.986975117537584,0.3789720468227229,0.3770861610655247,False,False,False,False
2017-0410-GTM,San Luis,Admin2,Petén,San Luis,llm_gadm,GDIS,5,geodetic,2805777028.514606,3170537198.3502192,0.0,5976314226.864825,0.0,0.0,0.0,False,False,False,False
2017-0410-USA,Florida,Admin1,Alabama,,llm_gadm,GDIS,5,geodetic,133635825739.0954,402064143281.71924,3372082551.174325,532327886469.6403,0.02523337235748315,0.008386926831253307,0.006334596846950345,False,False,False,False
2017-0410-USA,Louisiana,Admin1,Arkansas,,llm_gadm,GDIS,5,geodetic,137690979196.88693,402064143281.71924,79.57008959606348,539755122399.03613,5.77888907902127e-10,1.9790396862201692e-10,1.4741886884259715e-10,False,False,False,False
2017-0410-USA,Autauga,Admin2,Alabama,Autauga,llm_gadm,GDIS,5,geodetic,1561861862.5217605,402064143281.71924,1561861601.9433858,402064143542.29767,0.9999998331617022,0.003884608035909875,0.003884608033392254,False,False,False,False
2017-0410-USA,Biloxi,Admin2,Mississippi,Harrison,llm_gadm,GDIS,5,geodetic,1507193107.2366889,402064143281.71924,1507190108.8388207,402064146280.1171,0.9999980106080277,0.003748630993395398,0.00374863096543994,False,False,False,False
2017-0410-USA,Chilton,Admin2,Alabama,Autauga,llm_gadm,GDIS,5,geodetic,1561861862.5217605,402064143281.71924,1561861601.9433858,402064143542.29767,0.9999998331617022,0.003884608035909875,0.003884608033392254,False,False,False,False
2017-0410-USA,Lowndes,Admin2,Alabama,Autauga,llm_gadm,GDIS,5,geodetic,1561861862.5217605,402064143281.71924,1561861601.9433858,402064143542.29767,0.9999998331617022,0.003884608035909875,0.003884608033392254,False,False,False,False
2017-0415-RWA,Bugesera,Admin2,Eastern,Kamonyi,llm_gadm,GDIS,5,geodetic,659828243.5555294,7794161810.135107,2.1947584599151053,8453990051.495878,3.3262572212557926e-09,2.8159005591353774e-10,2.596121413138826e-10,False,False,False,False
2017-0415-RWA,Gicumbi,Admin2,Northern,Burera,llm_gadm,GDIS,5,geodetic,645379352.0655258,7794161810.135107,4.44964405759489,8439541157.750989,6.8946179380450875e-09,5.708944933384386e-10,5.272376749425858e-10,False,False,False,False
2017-0415-RWA,Huye,Admin2,Southern,Huye,llm_gadm,GDIS,5,geodetic,581067921.1514137,7794161810.135107,581067905.8171917,7794161825.469329,0.9999999736102761,0.07455168624567203,0.07455168609899916,False,False,False,False
2017-0415-RWA,Kirehe,Admin2,Eastern,Kirehe,llm_gadm,GDIS,5,geodetic,1180501486.3036997,7794161810.135107,1180501452.0408013,7794161844.3980055,0.9999999709759803,0.15145970545617118,0.15145970479035892,False,False,False,False
2017-0415-RWA,Ngoma,Admin2,Eastern,Huye,llm_gadm,GDIS,5,geodetic,581067921.1514137,7794161810.135107,581067905.8171917,7794161825.469329,0.9999999736102761,0.07455168624567203,0.07455168609899916,False,False,False,False
2017-0415-RWA,Nyabihu,Admin2,Western,Nyaruguru,llm_gadm,GDIS,5,geodetic,1007184470.8460718,7794161810.135107,6.16895517185842,8801346274.812223,6.124950642533509e-09,7.914841033755091e-10,7.009104038450112e-10,False,False,False,False
2017-0415-RWA,Nyamasheke,Admin2,Western,Nyamasheke,llm_gadm,GDIS,5,geodetic,1171514517.100819,7794161810.135107,1171514299.7200425,7794162027.515883,0.9999998144446582,0.15030664339001387,0.15030663919793077,False,False,False,False
2017-0415-RWA,Rubavu,Admin2,Western,Rubavu,llm_gadm,GDIS,5,geodetic,377787810.6217422,7794161810.135107,376839905.0046561,7795109715.752193,0.9974909047077879,0.04834899687540921,0.04834311751162988,False,False,False,False
2017-0415-RWA,Rusizi,Admin2,Western,Nyamagabe,llm_gadm,GDIS,5,geodetic,1091027976.2883437,7794161810.135107,8.018915810103678,8885189778.404535,7.349871849651259e-09,1.028836198868275e-09,9.025036054484355e-10,False,False,False,False
2017-0422-PHL,Albay,Admin1,Albay,,llm_gadm,GDIS,5,geodetic,2513638306.0266843,3723551439.3627477,2513637390.826297,3723552354.563135,0.9999996359060946,0.6750645000506514,0.6750643341286412,False,False,False,False
2017-0422-PHL,Batangas,Admin2,Calabarzon,Bauan,llm_gadm,GDIS,5,geodetic,51285506.920500346,3723551439.3627477,0.4504292566159336,3774836945.8328185,8.782778676910837e-09,1.2096764713770692e-10,1.1932416236234496e-10,False,False,False,False
2017-0422-PHL,Camarines Norte,Admin2,Bicol,Labo,llm_gadm,GDIS,5,geodetic,622997520.4874148,3723551439.3627477,1.3778360407720527,4346548958.472326,2.211623634864669e-09,3.7003276662343007e-10,3.169954034651707e-10,False,False,False,False
2017-0422-PHL,Camarines Sur,Admin2,Bicol,Naga City,llm_gadm,GDIS,5,geodetic,78119504.70122524,3723551439.3627477,0.0,3801670944.063973,0.0,0.0,0.0,False,False,False,False
2017-0422-PHL,Laguna,Admin2,Calabarzon,Calauan,llm_gadm,GDIS,5,geodetic,79439850.61039288,3723551439.3627477,0.0,3802991289.9731407,0.0,0.0,0.0,False,False,False,False
2017-0422-PHL,Oriental Mindoro,Admin2,Mimaropa,Pinamalayan,llm_gadm,GDIS,5,geodetic,206876799.40070516,3723551439.3627477,0.0,3930428238.763453,0.0,0.0,0.0,False,False,False,False
2017-0444-GRC,Igoumenitsa,Admin2,Epirus,Epirus,llm_gadm,GDIS,5,geodetic,9227199277.501242,1878997990.6731498,829466655.7984486,10276730612.375942,0.0898936536269401,0.44144094880127716,0.08071308737036934,False,False,False,False
2017-0444-GRC,Megara,Admin2,Attica,Attica,llm_gadm,GDIS,5,geodetic,3846700109.5873203,1878997990.6731498,365766328.97680086,5359931771.283669,0.0950857406495462,0.19466030873495788,0.06824085540350118,False,False,False,False
2017-0444-GRC,Symi,Admin2,South Aegean,South Aegean,llm_gadm,GDIS,5,geodetic,5450223519.982776,1878997990.6731498,67667364.47779427,7261554146.178131,0.012415520983625297,0.03601247303811777,0.009318578793963639,False,False,False,False
2017-0446-IRN,Dalahoo,Admin2,Kermanshah,Eslamabad-e-Gharb,llm_gadm,GDIS,5,geodetic,4333502499.985455,12398332950.613216,4333497648.118668,12398337802.480003,0.9999988803821419,0.3495226064165614,0.3495224696371679,False,False,False,False
2017-0446-IRQ,Erbil,Admin1,Arbil,,llm_gadm,GDIS,5,geodetic,14556545758.127636,24188593389.5882,14556544721.699652,24188594426.016182,0.9999999287998677,0.6017937664769465,0.6017937406914093,False,False,False,False
2017-0446-IRQ,Darbandikhan,Admin2,Sulaymaniyah,Darbandokeh,llm_gadm,GDIS,5,geodetic,665653329.0746852,24188593389.5882,665653248.3872671,24188593470.275616,0.9999998787846247,0.02751930373403989,0.02751930364224201,False,False,False,False
2017-0446-IRQ,Halabja,Admin2,Sulaymaniyah,Halabja,llm_gadm,GDIS,5,geodetic,1840041701.2733228,24188593389.5882,1840041995.5748782,24188593095.286644,1.0000001599428725,0.07607064891863081,0.07607064984417908,False,False,False,False
