dis_no,name,admin_level,admin1,admin2,geom_type_a,geom_type_b,batch_number,area_calculation_method,area_a,area_b,intersection_area,union_area,a_in_b,b_in_a,jaccard,a_contains_b,b_contains_a,a_contains_b_properly,b_contains_a_properly
2000-0009-IRN,['Gilan'],['Admin1'],['Ardebil'],[None],llm_gadm,GDIS,5,geodetic,17815183256.952137,14202621637.74384,21622335.726428535,31996182558.969547,0.001213702683523657,0.0015224186264996746,0.0006757786084817518,False,False,False,False
2000-0021-USA,"['Crittenden', 'Daviess', 'Webster']","['Admin2', 'Admin2', 'Admin2']","['Kentucky', 'Kentucky', 'Kentucky']","['Caldwell', 'Daviess', 'Caldwell']",llm_gadm,GDIS,5,geodetic,2127219187.2229958,104407976072.29547,2119965433.7901516,104415229825.72832,0.9965900300841524,0.020304631059242243,0.020303220491191064,False,False,False,False
2000-0033-CHN,"['Yunnan Sheng', 'Dali Bai']","['Admin1', 'Admin2']","['Guangxi', 'Yunnan Sheng']","[None, 'Dali Bai']",llm_gadm,GDIS,5,geodetic,264911169397.85995,383069277931.78986,28353549136.148525,619626898193.5012,0.10703040268402354,0.07401676607748539,0.04575906762410125,False,False,False,False
2000-0036-CHN,"['Yunnan Sheng', 'Honghe Hani and Yi']","['Admin1', 'Admin2']","['Guangxi', 'Yunnan Sheng']","[None, 'Honghe Hani and Yi']",llm_gadm,GDIS,5,geodetic,268705257913.00516,383069277931.78986,32147637749.313747,619626898095.4813,0.11963903497460301,0.08392121112630187,0.05188225018656301,False,False,False,False
2000-0041-CHN,['Xiuyan Manzu Zizhixian'],['Admin2'],['Liaoning Sheng'],['Anshan'],llm_gadm,GDIS,5,geodetic,9245981148.926645,145809241433.90088,9245981148.926645,145809241433.90088,1.0,0.06341148927187917,0.06341148927187917,False,True,False,True
2000-0051-IRN,"['Khorasan', 'Kashmar']","['Admin1', 'Admin2']","['North Khorasan', 'Khorasan']","[None, 'Kashmar/Khalilabad']",llm_gadm,GDIS,5,geodetic,29007563935.729645,7408405321.297718,9456749.33133057,36406512507.69603,0.0003260097729090017,0.0012764891931795717,0.00025975433184739934,False,False,False,False
2000-0065-IRN,['Kashmar'],['Admin2'],['Khorasan'],['Kashmar/Khalilabad'],llm_gadm,GDIS,5,geodetic,3959049943.2849507,36260433073.67685,0.0,40219483016.9618,0.0,0.0,0.0,False,False,False,False
2000-0066-PHL,['Tawi-Tawi'],['Admin2'],['ARMM'],['Panglima Sugala'],llm_gadm,GDIS,5,geodetic,252107203.18366832,1180114410.926586,252106227.45795923,1180115386.652295,0.9999961297190372,0.21362863221034134,0.2136284555810464,False,False,False,False
2000-0067-USA,"['Alabama', 'Arkansas', 'Florida', 'Georgia', 'Bullock', 'Colquitt', 'Grady', 'Lonoke', 'Mitchell', 'Montgomery', 'Prairie', 'Saline', 'Thomas', 'Tift', 'Washington']","['Admin1', 'Admin1', 'Admin1', 'Admin1', 'Admin2', 'Admin2', 'Admin2', 'Admin2', 'Admin2', 'Admin2', 'Admin2', 'Admin2', 'Admin2', 'Admin2', 'Admin2']","['Alabama', 'Arkansas', 'Alabama', 'Alabama', 'Alabama', 'Georgia', 'Georgia', 'Arkansas', 'Georgia', 'Alabama', 'Arkansas', 'Arkansas', 'Georgia', 'Georgia', 'Florida']","[None, None, None, None, 'Barbour', 'Brooks', 'Decatur', 'Faulkner', 'Baker', 'Elmore', 'Arkansas', 'Garland', 'Brooks', 'Berrien', 'Bay']",llm_gadm,GDIS,5,geodetic,278323851057.8916,432107883531.7726,272835383043.7992,437596351545.865,0.9802802814303155,0.6314057054775716,0.6234864209447207,False,False,False,False
2000-0080-USA,"['Kentucky', 'Ohio']","['Admin1', 'Admin1']","['Illinois', 'Indiana']","[None, None]",llm_gadm,GDIS,5,geodetic,244454691844.15265,224505906854.9132,184394608.0645415,468776204091.00134,0.0007543099568819023,0.0008213352185147912,0.00039335317461793734,False,False,False,False
2000-0092-EGY,['Fayoum'],['Admin1'],['Al Fayyum'],[None],llm_gadm,GDIS,5,geodetic,5848834072.469503,12331359763.88386,5848816232.212892,12331377604.140472,0.9999969497755636,0.4743042409112846,0.47430355471792957,False,False,False,False
2000-0107-MDG,"[""Amoron'i Mania"", 'Analamanga', 'Analanjirofo', 'Atsimo Andrefana', 'Atsinanana', 'Menabe', 'Sava', 'Vakinankaratra', 'Ambatolampy', 'Ambositra', 'Andapa', 'Andramasina', 'Antalaha', 'Antanambao Manampontsy', 'Antananarivo Avaradrano', 'Antanifotsy', 'Antsirabe II', 'Belo Sur Tsiribihina', 'Brickaville', 'Mahabo', 'Mahanoro', 'Manjakandriana', 'Maroantsetra', 'Marolambo', 'Morombe', 'Morondava', 'Sambava', 'Vatomandry', 'Vohemar']","['Admin1', 'Admin1', 'Admin1', 'Admin1', 'Admin1', 'Admin1', 'Admin1', 'Admin1', 'Admin2', 'Admin2', 'Admin2', 'Admin2', 'Admin2', 'Admin2', 'Admin2', 'Admin2', 'Admin2', 'Admin2', 'Admin2', 'Admin2', 'Admin2', 'Admin2', 'Admin2', 'Admin2', 'Admin2', 'Admin2', 'Admin2', 'Admin2', 'Admin2']","['Antananarivo', 'Antananarivo', 'Mahajanga', 'Fianarantsoa', 'Antsiranana', 'Antananarivo', 'Antsiranana', 'Antananarivo', 'Vakinankaratra', ""Amoron'i Mania"", 'Sava', 'Analamanga', 'Sava', 'Atsinanana', 'Analamanga', 'Vakinankaratra', 'Vakinankaratra', 'Menabe', 'Atsinanana', 'Menabe', 'Atsinanana', 'Analamanga', 'Analanjirofo', 'Atsinanana', 'Atsimo Andrefana', 'Menabe', 'Sava', 'Atsinanana', 'Sava']","[None, None, None, None, None, None, None, None, 'Vakinankaratra', ""Amoron'i mania"", 'Diana', 'Analamanga', 'Sava', 'Alaotra-Mangoro', 'Analamanga', 'Vakinankaratra', 'Vakinankaratra', 'Melaky', 'Atsinanana', 'Menabe', 'Atsinanana', 'Analamanga', 'Analanjirofo', 'Atsinanana', 'Atsimo-Andrefana', 'Menabe', 'Sava', 'Atsinanana', 'Sava']",llm_gadm,GDIS,5,geodetic,543043814817.38574,78715526824.12534,78613433351.04066,543145908290.47046,0.14476443926992652,0.9987030071803651,0.14473722834159466,False,False,False,False
2000-0118-MWI,"['Central Region', 'Northern Region', 'Southern Region', 'Chikwawa', 'Karonga', 'Nkhotakota', 'Nsanje']","['Admin1', 'Admin1', 'Admin1', 'Admin2', 'Admin2', 'Admin2', 'Admin2']","['Balaka', 'Chitipa', 'Balaka', 'Southern Region', 'Northern Region', 'Central Region', 'Southern Region']","[None, None, None, 'Chikwawa Boma', 'Karonga Town', 'Lake Malawi', 'TA Bvumbwe']",llm_gadm,GDIS,5,geodetic,9994004818.48015,23410658431.21511,3607434793.100781,29797228456.59448,0.36095988131106244,0.1540936921402744,0.12106611856051373,False,False,False,False
2000-0129-PER,['Angaraes'],['Admin2'],['Huancavelica'],['Angaraes'],llm_gadm,GDIS,5,geodetic,1944835998.5560772,1955717918.5394125,1914202443.7570097,1986351473.3384798,0.9842487722245932,0.978772258315551,0.9636776116664749,False,False,False,False
2000-0130-BOL,"['Chuquisaca', 'Avilez', 'Gran Chaco']","['Admin1', 'Admin2', 'Admin2']","['Chuquisaca', 'Tarija', 'Tarija']","[None, 'Avilés', 'Arce']",llm_gadm,GDIS,5,geodetic,58457338307.45055,321113651.4302581,308496442.41900736,58469955516.4618,0.0052772919765265575,0.9607079644385936,0.00527615319173883,False,False,False,False
2000-0156-CHN,['Qi Xian'],['Admin2'],['Shanxi Sheng'],['Changzhi'],llm_gadm,GDIS,5,geodetic,13980436777.12526,156478721517.51254,13956749111.82519,156502409182.81262,0.9983056562768605,0.0891926325603523,0.0891791326708723,False,False,False,False
