dis_no,name,admin_level,admin1,admin2,geom_type_a,geom_type_b,batch_number,area_calculation_method,area_a,area_b,intersection_area,union_area,a_in_b,b_in_a,jaccard,a_contains_b,b_contains_a,a_contains_b_properly,b_contains_a_properly
2021-0586-FRA,Gard,Admin2,Occitanie,Gard,llm_osm,GAUL,3,geodetic,5875903492.45949,5867029843.977674,5744718425.777235,5998214910.659929,0.9776740603635503,0.9791527533602054,0.9577380122822567,False,False,False,False
2021-0588-GTM,Santa Rosa,Admin1,Santa Rosa,,llm_osm,GAUL,3,geodetic,3191973521.489085,10075108113.0732,3089930229.818268,10177151404.744019,0.9680312850392276,0.3066895357488873,0.3036144503439258,False,False,False,False
2021-0607-MEX,Tlayacapan,Admin2,Morelos,Tlayacapan,llm_osm,GAUL,3,geodetic,57204985.12294202,1428778541.2396946,32207780.416378763,1453775745.9462578,0.5630240152525073,0.022542178151999222,0.022154572674766164,False,False,False,False
2021-0607-MEX,Ayala,Admin2,Morelos,Ayala,llm_osm,GAUL,3,geodetic,368344425.7128162,1428778541.2396946,227971574.0708721,1569151392.8816388,0.6189087119472596,0.15955696946083064,0.1452833519474612,False,False,False,False
2021-0607-MEX,Cuautla,Admin2,Morelos,Cuautla,llm_osm,GAUL,3,geodetic,118476508.18717171,1428778541.2396946,118436030.1739065,1428819019.2529597,0.9996583456595356,0.0828932033589644,0.08289085501943368,False,False,False,False
2021-0607-MEX,Yautepec,Admin2,Morelos,Yautepec,llm_osm,GAUL,3,geodetic,179473419.259739,1428778541.2396946,65837020.781983115,1542414939.7174504,0.36683438167911603,0.04607923403220973,0.04268437700301552,False,False,False,False
2021-0607-MEX,Jonacatepec,Admin2,Morelos,Jonacatepec,llm_osm,GAUL,3,geodetic,90328463.17446136,1428778541.2396946,90328463.17446136,1428778541.2396946,1.0,0.06322075854812806,0.06322075854812806,False,True,False,True
2021-0607-MEX,Jantetelco,Admin2,Morelos,Jantetelco,llm_osm,GAUL,3,geodetic,102268085.79016286,1428778541.2396946,97066859.36596145,1433979767.6638958,0.9491412557102763,0.06793695213377181,0.06769053619500755,False,False,False,False
2021-0607-MEX,Yecapixtla,Admin2,Morelos,Yecapixtla,llm_osm,GAUL,3,geodetic,176737761.36476862,1428778541.2396946,123206322.49616198,1482309980.1083012,0.6971137438019075,0.08623192394061345,0.08311778517956159,False,False,False,False
2021-0607-MEX,Tepalcingo,Admin2,Morelos,Tepalcingo,llm_osm,GAUL,3,geodetic,368640324.5655639,1428778541.2396946,269276594.2649983,1528142271.5402603,0.7304588682270069,0.18846629235581722,0.17621173059599116,False,False,False,False
