dis_no,name,admin_level,admin1,admin2,geom_type_a,geom_type_b,batch_number,area_calculation_method,area_a,area_b,intersection_area,union_area,a_in_b,b_in_a,jaccard,a_contains_b,b_contains_a,a_contains_b_properly,b_contains_a_properly
2008-0346-BRA,"['Santa Catarina', 'Rio Grande do Sul']","['Admin1', 'Admin1']","['Santa Catarina', 'Rio Grande do Sul']","[None, None]",llm_osm,GDIS,2,geodetic,403679731570.9691,370060994474.4952,365388216908.04974,408352509137.4146,0.905143826483675,0.9873729530098653,0.8947862661108151,False,False,False,False
2008-0347-PHL,['Bansalan'],['Admin2'],['Davao del Sur'],['Bansalan'],llm_osm,GDIS,2,geodetic,204301516.6591451,6061019874.388716,204243117.30030334,6061078273.747558,0.9997141511242955,0.03369781349230475,0.03369748880903662,False,False,False,False
2008-0350-PAK,['Balochistan'],['Admin1'],['Balochistan'],[None],llm_osm,GDIS,2,geodetic,368409079935.64636,348723176110.11255,343562431962.7458,373569824083.0131,0.9325569066396496,0.9852010290657103,0.9196739399550665,False,False,False,False
2008-0352-CUB,"['Isla de la Juventud', 'Pinar del Río', 'Matanzas']","['Admin1', 'Admin1', 'Admin1']","['Isla de la Juventud', 'Pinar del Río', 'Matanzas']","[None, None, None]",llm_osm,GDIS,2,geodetic,47309620511.92414,26033661115.641117,11737941825.458374,61605339802.10689,0.24810898287590127,0.4508755711814262,0.19053448715913,False,False,False,False
2008-0352-DOM,['Santo Domingo'],['Admin1'],['Santo Domingo'],[None],llm_osm,GDIS,2,geodetic,1302269348.1246078,1315325047.630285,1245201834.5859332,1372392561.1689596,0.9561784099265968,0.9466875407180246,0.9073219061500235,False,False,False,False
2008-0352-HTI,"['Sud-Est', 'Sud', 'Nippes', 'Ouest', 'Artibonite', 'Centre']","['Admin1', 'Admin1', 'Admin1', 'Admin1', 'Admin1', 'Admin1']","['Sud-Est', 'Sud', 'Nippes', 'Ouest', ""L'Artibonite"", 'Centre']","[None, None, None, None, None, None]",llm_osm,GDIS,2,geodetic,19262788785.300766,21197617393.459938,19036914358.54222,21423491820.218483,0.9882740537065481,0.8980685897470555,0.8885999779259176,False,False,False,False
2008-0352-JAM,"['Saint Catherine', 'Saint Andrew', 'Kingston', 'Portland', 'Saint Thomas', 'Saint Mary']","['Admin1', 'Admin1', 'Admin1', 'Admin1', 'Admin1', 'Admin1']","['Saint Catherine', 'Saint Andrew', 'Kingston', 'Portland', 'Saint Thomas', 'Saint Mary']","[None, None, None, None, None, None]",llm_osm,GDIS,2,geodetic,3854210964.0824637,3836867782.810428,3760496204.6907115,3930582542.2021804,0.9756850986453302,0.9800953323276165,0.9567274479837854,False,False,False,False
2008-0361-LBR,['Greater Monrovia'],['Admin2'],['Montserrado'],['Greater Monrovia'],llm_osm,GDIS,2,geodetic,231653059.73329014,162394408.55265078,161579142.81694275,232468325.46899813,0.6975048937535044,0.9949797179411894,0.6950587461365393,False,False,False,False
2008-0362-BEN,['Ouinhi'],['Admin2'],['Zou'],['Ouinhi'],llm_osm,GDIS,2,geodetic,49731.757249181974,294738911.6792602,0.0,294788643.4365094,0.0,0.0,0.0,False,False,False,False
2008-0369-CHN,"['Guangzhou', 'Shenzhen']","['Admin2', 'Admin2']","['Guangdong', 'Guangdong']","['Guangzhou', 'Shenzhen']",llm_osm,GDIS,2,geodetic,11547000248.40186,177831311862.87357,9569038580.291723,179809273530.9837,0.8287034185883999,0.053809638359247146,0.053217714483690635,False,False,False,False
2008-0374-CHN,"['Sichuan', 'Yunnan', 'Liangshan Yi', 'Panzhihua', 'Kunming', 'Zhaotong', 'Lijiang', 'Dali Bai']","['Admin1', 'Admin1', 'Admin2', 'Admin2', 'Admin2', 'Admin2', 'Admin2', 'Admin2']","['Sichuan', 'Yunnan', 'Sichuan', 'Sichuan', 'Yunnan', 'Yunnan', 'Yunnan', 'Yunnan']","[None, None, 'Liangshan Yi', 'Panzhihua', 'Kunming', 'Zhaotong', 'Lijiang', 'Dali Bai']",llm_osm,GDIS,2,geodetic,869287958382.4059,866904478810.64,865383648732.6089,870808788460.437,0.995508611833227,0.9982456774475111,0.9937699988795249,False,False,False,False
2008-0378-HTI,"['Sud', 'Nord', 'Sud-Est', 'Nippes', 'Port-au-Prince']","['Admin1', 'Admin1', 'Admin1', 'Admin1', 'Admin2']","['Sud', 'Nord', 'Sud-Est', 'Nippes', 'Ouest']","[None, None, None, None, 'Port-au-Prince']",llm_osm,GDIS,2,geodetic,8782297859.32896,10799941566.860554,8577195356.345485,11005044069.844028,0.9766459181561912,0.7941890521578812,0.7793876427854275,False,False,False,False
2008-0379-BFA,['Noumbiel'],['Admin2'],['Sud-Ouest'],['Noumbiel'],llm_osm,GDIS,2,geodetic,2831276063.6593103,1264540975.136279,1263713546.262189,2832103492.5334005,0.44634063152036474,0.9993456685940912,0.44621022840226776,False,False,False,False
2008-0383-IDN,"['Sumatra Utara', 'Sulawesi Selatan', 'Maluku', 'Riau', 'Sulawesi Tengah', 'Jawa Barat', 'Kalimantan Selatan', 'Kalimantan Tengah', 'Kalimantan Timur', 'Gorontalo', 'Bonebolango']","['Admin1', 'Admin1', 'Admin1', 'Admin1', 'Admin1', 'Admin1', 'Admin1', 'Admin1', 'Admin1', 'Admin2', 'Admin2']","['Sumatera Utara', 'Sulawesi Selatan', 'Maluku', 'Riau', 'Sulawesi Tengah', 'Jawa Barat', 'Kalimantan Selatan', 'Kalimantan Tengah', 'Kalimantan Timur', 'Gorontalo', 'Gorontalo']","[None, None, None, None, None, None, None, None, None, 'Gorontalo', 'Bone Bolango']",llm_osm,GDIS,2,geodetic,1456980805366.6245,364011682891.5289,350525862916.2844,1470466625341.869,0.24058372054399202,0.9629522331038395,0.2383772993384264,False,False,False,False
2008-0385-BGD,"['Bogra', 'Sirajganj']","['Admin2', 'Admin2']","['Rajshahi', 'Rajshahi']","['Bogra', 'Sirajganj']",llm_osm,GDIS,2,geodetic,5413666130.0283375,5331559409.750339,5274685056.873905,5470540482.90477,0.974327734696542,0.989332510714891,0.9641981579986648,False,False,False,False
2008-0389-CHL,"['Araucanía', 'Biobío', 'Los Ríos', 'Los Lagos', 'Maule']","['Admin1', 'Admin1', 'Admin1', 'Admin1', 'Admin1']","['Araucanía', 'Bío-Bío', 'Los Ríos', 'Los Lagos', 'Maule']","[None, None, None, None, None]",llm_osm,GDIS,2,geodetic,170531316304.70703,106736816547.52232,92541977797.94128,184726155054.2881,0.5426685244872348,0.8670108477213101,0.5009684620499174,False,False,False,False
2008-0398-CHN,['Linfen'],['Admin2'],['Shanxi'],['Linfen'],llm_osm,GDIS,2,geodetic,20268845676.64496,1032489350.6988628,1032314766.9654381,20269020260.378384,0.05093110793945885,0.9998309098943186,0.050930669253086376,False,False,False,False
2008-0409-PAN,['Chiriquí'],['Admin1'],['Chiriquí'],[None],llm_osm,GDIS,2,geodetic,16604079574.74573,960457058.7450641,194575871.35554314,17369960762.135254,0.011718558109748327,0.20258674719906428,0.01120186015501536,False,False,False,False
2008-0410-SEN,"['Thiès', 'Diourbel', 'Saint-Louis', 'Kaolack', 'Dakar']","['Admin1', 'Admin1', 'Admin1', 'Admin1', 'Admin1']","['Thiès', 'Diourbel', 'Saint-Louis', 'Kaolack', 'Dakar']","[None, None, None, None, None]",llm_osm,GDIS,2,geodetic,4973353491.522276,37729662957.308334,4755279462.733867,37947736986.09675,0.9561515124231277,0.12603556697854776,0.12531127915417198,False,False,False,False
2008-0415-IND,"['West Godavari', 'Krishna', 'Guntur']","['Admin2', 'Admin2', 'Admin2']","['Andhra Pradesh', 'Andhra Pradesh', 'Andhra Pradesh']","['West Godavari', 'Krishna', 'Guntur']",llm_osm,GDIS,2,geodetic,8505130060.671752,38919897394.41886,6010117157.095425,41414910297.99519,0.7066461199560696,0.15442273899615366,0.14511964685786996,False,False,False,False
2008-0420-ITA,"['Milano', 'Como', 'Lecco', 'Sondrio']","['Admin2', 'Admin2', 'Admin2', 'Admin2']","['Lombardia', 'Lombardia', 'Lombardia', 'Lombardia']","['Milano', 'Como', 'Lecco', 'Sondrio']",llm_osm,GDIS,2,geodetic,5464301602.819625,1561651143.4949574,181900188.5287579,6844052557.785825,0.03328882659677788,0.11647940020820997,0.0265778479918053,False,False,False,False
2008-0423-IND,"['Odisha', 'Uttar Pradesh', 'Himachal Pradesh']","['Admin1', 'Admin1', 'Admin1']","['Odisha', 'Uttar Pradesh', 'Himachal Pradesh']","[None, None, None]",llm_osm,GDIS,2,geodetic,452221859233.36786,451985745178.6322,449051507359.30676,455156097052.69324,0.9929893882630184,0.9935081186727122,0.9865879206432343,False,False,False,False
2008-0426-CHN,"['Maoming', 'Yangjiang', 'Zhanjiang']","['Admin2', 'Admin2', 'Admin2']","['Guangdong', 'Guangdong', 'Guangdong']","['Maoming', 'Yangjiang', 'Zhanjiang']",llm_osm,GDIS,2,geodetic,39091227142.57587,898224131460.5784,31746039144.717316,905569319458.437,0.8121013706970942,0.03534311541273771,0.035056442905665786,False,False,False,False
2008-0427-CRI,"['Guanacaste', 'Puntarenas']","['Admin1', 'Admin1']","['Guanacaste', 'Puntarenas']","[None, None]",llm_osm,GDIS,2,geodetic,46133068581.25254,2100256328.9906352,2098353556.2687638,46134971353.97442,0.04548480343493752,0.9990940283356814,0.04548292747748711,False,False,False,False
2008-0430-THA,"['Phitsanulok', 'Lopburi', 'Phra Nakhon Si Ayutthaya']","['Admin1', 'Admin1', 'Admin1']","['Phitsanulok', 'Lop Buri', 'Phra Nakhon Si Ayutthaya']","[None, None, None]",llm_osm,GDIS,2,geodetic,19541928855.35534,19399947476.480568,18986887215.941513,19954989115.894394,0.9715973973950007,0.9787081763473934,0.9514857214739458,False,False,False,False
2008-0444-DZA,['Ghardaïa'],['Admin1'],['Ghardaïa'],[None],llm_osm,GDIS,2,geodetic,21160306540.599373,84434587312.30365,21126499402.490917,84468394450.4121,0.9984023323082021,0.2502114367462823,0.2501112935784924,False,False,False,False
2008-0445-TCD,['Sila'],['Admin1'],['Sila'],[None],llm_osm,GDIS,2,geodetic,36262655975.18946,35681509422.43345,34992381030.93702,36951784366.68589,0.964970162551757,0.9806866805062018,0.9469740536396022,False,False,False,False
