dis_no,name,admin_level,admin1,admin2,geom_type_a,geom_type_b,batch_number,area_calculation_method,area_a,area_b,intersection_area,union_area,a_in_b,b_in_a,jaccard,a_contains_b,b_contains_a,a_contains_b_properly,b_contains_a_properly
2017-0362-USA,Natchitoches,Admin2,Louisiana,Natchitoches,llm_osm,GDIS,5,geodetic,67656711.03031923,1393455955812.1343,67656711.03031923,1393455955812.1343,1.0,4.855317510978489e-05,4.855317510978489e-05,False,True,False,True
2017-0362-USA,Newton,Admin2,Texas,Jasper,llm_osm,GDIS,5,geodetic,2435242028.1877394,1393455955812.1343,10510001.96209203,1395880687838.3599,0.0043157936009807505,7.542399828465759e-06,7.529298208407528e-06,False,False,False,False
2017-0362-USA,Nueces,Admin2,Texas,Aransas,llm_osm,GDIS,5,geodetic,3377958209.593777,1393455955812.1343,2210844546.4617605,1394623069475.2664,0.6544913848201899,0.0015865909053244785,0.0015852631401641745,False,False,False,False
2017-0362-USA,Orange,Admin2,Texas,Hardin,llm_osm,GDIS,5,geodetic,964961151.576163,1393455955812.1343,2278954.2406764105,1394418638009.4697,0.002361705688310848,1.6354691593737455e-06,1.634340060119688e-06,False,False,False,False
2017-0362-USA,Polk,Admin2,Texas,Angelina,llm_osm,GDIS,5,geodetic,2873786842.0051646,1393455955812.1343,5750897.376185347,1396323991756.7632,0.0020011565548726288,4.1270750985693035e-06,4.1185981263202e-06,False,False,False,False
2017-0362-USA,Rapides,Admin2,Louisiana,Allen,llm_osm,GDIS,5,geodetic,3524858174.360957,1393455955812.1343,3516207128.3428707,1393464606858.1523,0.997545703801358,0.0025233715595219903,0.0025233558936748816,False,False,False,False
2017-0362-USA,Refugio,Admin2,Texas,Aransas,llm_osm,GDIS,5,geodetic,2119235370.3978348,1393455955812.1343,2016914115.1708422,1393558277067.3613,0.9517178428331987,0.0014474186333326509,0.0014473123574101877,False,False,False,False
2017-0362-USA,Sabine,Admin2,Texas,Jasper,llm_osm,GDIS,5,geodetic,1492964216.9317472,1393455955812.1343,359422.7699887459,1394948560606.296,0.0002407443968934571,2.579362257483532e-07,2.5766023216836584e-07,False,False,False,False
2017-0362-USA,San Augustine,Admin2,Texas,Angelina,llm_osm,GDIS,5,geodetic,1542889893.3748312,1393455955812.1343,1524609965.9603834,1393474235739.5486,0.9881521503945668,0.0010941213890551782,0.0010941070361098124,False,False,False,False
2017-0362-USA,San Jacinto,Admin2,Texas,Liberty,llm_osm,GDIS,5,geodetic,1626793575.3360474,1393455955812.1343,1601108002.6831543,1393481641384.787,0.9842109207693501,0.0011490194548345063,0.0011489982753501054,False,False,False,False
2017-0362-USA,San Patricio,Admin2,Texas,Aransas,llm_osm,GDIS,5,geodetic,1832728798.4159935,1393455955812.1343,1829465035.6150303,1393459219574.9353,0.998219178525604,0.0013128976398459476,0.00131289456477463,False,False,False,False
2017-0362-USA,Trinity,Admin2,Texas,Angelina,llm_osm,GDIS,5,geodetic,1850828334.854224,1393455955812.1343,5345544.331558614,1395301438602.657,0.0028881902394149606,3.83617746170034e-06,3.831103576379868e-06,False,False,False,False
2017-0362-USA,Tyler,Admin2,Texas,Smith,llm_osm,GDIS,5,geodetic,150993849.1912634,1393455955812.1343,0.0,1393606949661.3254,0.0,0.0,0.0,False,False,False,False
2017-0362-USA,Vermillion,Admin2,Louisiana,Acadia,llm_osm,GDIS,5,geodetic,3987889913.1001754,1393455955812.1343,1606926.0804561873,1397442238799.1538,0.00040295146442670155,1.1531947412859836e-06,1.1499051880935319e-06,False,False,False,False
2017-0362-USA,Vernon,Admin2,Louisiana,Allen,llm_osm,GDIS,5,geodetic,3471181674.045038,1393455955812.1343,5837703.2140323715,1396921299782.965,0.0016817625126574196,4.18937045672896e-06,4.178977881530875e-06,False,False,False,False
2017-0362-USA,Victoria,Admin2,Texas,Calhoun,llm_osm,GDIS,5,geodetic,2301091367.1734443,1393455955812.1343,2289958156.767227,1393467089022.5403,0.9951617695129191,0.0016433660118324968,0.0016433528820357993,False,False,False,False
2017-0362-USA,Walker,Admin2,Texas,Grimes,llm_osm,GDIS,5,geodetic,2074504149.1275604,1393455955812.1343,10699037.674879529,1395519760923.587,0.00515739516808344,7.678059453729856e-06,7.666704531506354e-06,False,False,False,False
2017-0362-USA,Waller,Admin2,Texas,Austin,llm_osm,GDIS,5,geodetic,1348273409.1585891,1393455955812.1343,1338636698.4288218,1393465592522.8643,0.9928525544861252,0.0009606594975932607,0.0009606528540150209,False,False,False,False
2017-0362-USA,Washington,Admin2,Texas,Austin,llm_osm,GDIS,5,geodetic,1609095135.9137707,1393455955812.1343,12357089.234121162,1395052693858.814,0.007679526808776186,8.867943893439532e-06,8.857793894466153e-06,False,False,False,False
2017-0362-USA,Wharton,Admin2,Texas,Austin,llm_osm,GDIS,5,geodetic,2833660443.3921576,1393455955812.1343,2830741900.0083084,1393458874355.518,0.998970044773482,0.002031454161289579,0.0020314499064908115,False,False,False,False
2017-0362-USA,Willacy,Admin2,Texas,Cameron,llm_osm,GDIS,5,geodetic,2267560202.5430655,1393455955812.1343,1608178983.6883469,1394115337030.989,0.7092111520941214,0.0011540938750023626,0.0011535480178514093,False,False,False,False
2017-0362-USA,Wilson,Admin2,Texas,Atascosa,llm_osm,GDIS,5,geodetic,2089833012.8984666,1393455955812.1343,12794752.287779033,1395532994072.7449,0.006122380213543243,9.182028491400716e-06,9.168362440818136e-06,False,False,False,False
2017-0362-USA,Beaumont,Admin3,Texas,,llm_osm,GDIS,5,geodetic,220122200.77176353,1393455955812.1343,0.0,1393676078012.906,0.0,0.0,0.0,False,False,False,False
2017-0362-USA,Corpus Christi,Admin3,Texas,,llm_osm,GDIS,5,geodetic,1255476737.4477165,1393455955812.1343,433085373.65539604,1394278347175.9265,0.34495690819076735,0.00031079947080421723,0.00031061615102364525,False,False,False,False
2017-0362-USA,Hackberry,Admin3,Louisiana,,llm_osm,GDIS,5,geodetic,242510445.4065136,1393455955812.1343,0.0,1393698466257.5408,0.0,0.0,0.0,False,False,False,False
2017-0362-USA,Houston,Admin3,Texas,,llm_osm,GDIS,5,geodetic,1587671751.8732479,1393455955812.1343,29420555.00296482,1395014207009.0046,0.018530628241166577,2.111337274798752e-05,2.1089788802971608e-05,False,False,False,False
2017-0362-USA,Port Arthur,Admin3,Texas,,llm_osm,GDIS,5,geodetic,374876152.25933033,1393455955812.1343,0.0,1393830831964.3936,0.0,0.0,0.0,False,False,False,False
2017-0362-USA,Port Lavaca,Admin3,Texas,,llm_osm,GDIS,5,geodetic,36534928.86940444,1393455955812.1343,0.0,1393492490741.0037,0.0,0.0,0.0,False,False,False,False
