dis_no,name,admin_level,admin1,admin2,geom_type_a,geom_type_b,batch_number,area_calculation_method,area_a,area_b,intersection_area,union_area,a_in_b,b_in_a,jaccard,a_contains_b,b_contains_a,a_contains_b_properly,b_contains_a_properly
1999-9388-DJI,Ali Sabieh,Admin1,Ali Sabieh,,llm_wiki,GAUL,1,geodetic,0.0,21669672928.1253,0.0,0.0,0.0,0.0,0.0,False,True,False,True
1999-9388-DJI,Dikhil,Admin1,Dikhil,,llm_wiki,GAUL,1,geodetic,0.0,21669672928.1253,0.0,0.0,0.0,0.0,0.0,False,True,False,True
1999-9388-DJI,Djibouti,Admin1,Djiboutii,,llm_wiki,GAUL,1,geodetic,0.0,21669672928.1253,0.0,0.0,0.0,0.0,0.0,False,True,False,True
1999-9388-SDN,Red Sea,Admin1,Red Sea,,llm_wiki,GAUL,1,geodetic,0.0,756666292478.0913,0.0,0.0,0.0,0.0,0.0,False,False,False,False
1999-9388-SOM,Bay,Admin1,Bay,,llm_wiki,GAUL,1,geodetic,0.0,124573232262.02773,0.0,0.0,0.0,0.0,0.0,False,True,False,True
1999-9388-SOM,Rab Dhuure,Admin2,Bakool,Rab Dhuure,llm_wiki,GAUL,1,geodetic,0.0,124573232262.02773,0.0,0.0,0.0,0.0,0.0,False,True,False,True
1999-9388-SOM,Baardheere,Admin2,Gedo,Baar-Dheere,llm_wiki,GAUL,1,geodetic,0.0,124573232262.02773,0.0,0.0,0.0,0.0,0.0,False,True,False,True
2000-0003-BGD,Chittagong,Admin1,Chittagong,,llm_wiki,GAUL,1,geodetic,0.0,139825090163.43762,0.0,0.0,0.0,0.0,0.0,False,True,False,True
2000-0003-BGD,Dhaka,Admin1,Dhaka,,llm_wiki,GAUL,1,geodetic,0.0,139825090163.43762,0.0,0.0,0.0,0.0,0.0,False,True,False,True
2000-0003-BGD,Khulna,Admin1,Khulna,,llm_wiki,GAUL,1,geodetic,0.0,139825090163.43762,0.0,0.0,0.0,0.0,0.0,False,True,False,True
2000-0003-BGD,Rajshahi,Admin1,Rajshahi,,llm_wiki,GAUL,1,geodetic,0.0,139825090163.43762,0.0,0.0,0.0,0.0,0.0,False,True,False,True
2000-0003-BGD,Rangpur,Admin1,Rangpur,,llm_wiki,GAUL,1,geodetic,0.0,139825090163.43762,0.0,0.0,0.0,0.0,0.0,False,True,False,True
2000-0003-BGD,Sylhet,Admin1,Sylhet,,llm_wiki,GAUL,1,geodetic,0.0,139825090163.43762,0.0,0.0,0.0,0.0,0.0,False,True,False,True
2000-0008-GTM,Escuintla,Admin1,Escuintla,,llm_wiki,GAUL,1,geodetic,0.0,150019426.47824878,0.0,0.0,0.0,0.0,0.0,False,False,False,False
2000-0008-GTM,San Vicente Pacaya,Admin2,Escuintla,San Vicente Pacaya,llm_wiki,GAUL,1,geodetic,0.0,150019426.47824878,0.0,0.0,0.0,0.0,0.0,False,True,False,True
2000-0012-MOZ,Inhambane,Admin1,Inhambane,,llm_wiki,GAUL,1,geodetic,0.0,332366069188.88855,0.0,0.0,0.0,0.0,0.0,False,True,False,True
2000-0012-MOZ,Sofala,Admin1,Sofala,,llm_wiki,GAUL,1,geodetic,0.0,332366069188.88855,0.0,0.0,0.0,0.0,0.0,False,True,False,True
2000-0012-MOZ,Manica,Admin1,Manica,,llm_wiki,GAUL,1,geodetic,0.0,332366069188.88855,0.0,0.0,0.0,0.0,0.0,False,True,False,True
2000-0012-MOZ,Tete,Admin1,Tete,,llm_wiki,GAUL,1,geodetic,0.0,332366069188.88855,0.0,0.0,0.0,0.0,0.0,False,True,False,True
2000-0012-MOZ,Magude,Admin2,Maputo,Magude,llm_wiki,GAUL,1,geodetic,0.0,332366069188.88855,0.0,0.0,0.0,0.0,0.0,False,True,False,True
2000-0012-MOZ,Marracuene,Admin2,Maputo,Marracuene,llm_wiki,GAUL,1,geodetic,0.0,332366069188.88855,0.0,0.0,0.0,0.0,0.0,False,True,False,True
2000-0012-MOZ,Chibuto,Admin2,Gaza,Chibuto,llm_wiki,GAUL,1,geodetic,0.0,332366069188.88855,0.0,0.0,0.0,0.0,0.0,False,True,False,True
2000-0012-MOZ,Chokwe,Admin2,Gaza,Chókwè,llm_wiki,GAUL,1,geodetic,0.0,332366069188.88855,0.0,0.0,0.0,0.0,0.0,False,True,False,True
2000-0012-MOZ,Mabalane,Admin2,Gaza,Mabalane,llm_wiki,GAUL,1,geodetic,0.0,332366069188.88855,0.0,0.0,0.0,0.0,0.0,False,True,False,True
2000-0017-ZAF,Western Cape,Admin1,Western Cape,,llm_wiki,GAUL,1,geodetic,0.0,2787448710.802491,0.0,0.0,0.0,0.0,0.0,False,False,False,False
2000-0019-BRA,Volta Redonda,Admin2,Rio de Janeiro,Volta Redonda,llm_wiki,GAUL,1,geodetic,0.0,5417078349.902328,0.0,0.0,0.0,0.0,0.0,False,True,False,True
2000-0019-BRA,Barra Mansa,Admin2,Rio de Janeiro,Barra Mansa,llm_wiki,GAUL,1,geodetic,0.0,5417078349.902328,0.0,0.0,0.0,0.0,0.0,False,True,False,True
