dis_no,name,admin_level,admin1,admin2,geom_type_a,geom_type_b,batch_number,area_calculation_method,area_a,area_b,intersection_area,union_area,a_in_b,b_in_a,jaccard,a_contains_b,b_contains_a,a_contains_b_properly,b_contains_a_properly
2003-0044-GRC,"['Attica', 'Central Greece', 'Thessaly', 'Agistri', 'Dilesi', 'Karditsa', 'Marathon', 'Oropos']","['Admin1', 'Admin1', 'Admin1', 'Admin3', 'Admin3', 'Admin3', 'Admin3', 'Admin3']","['Attica', 'Attica', 'Epirus and Western Macedonia', 'Attica', 'Central Greece', 'Thessaly', 'Attica', 'Attica']","[None, None, None, None, None, None, None, None]",llm_wiki,GAUL,4,geodetic,0.0,9417312407.739912,0.0,9417312407.739912,0.0,0.0,0.0,False,False,False,False
2003-0346-PHL,"['Ilocos Norte', 'Isabela', 'Maguindanao', 'Romblon', 'Sultan Kudarat']","['Admin2', 'Admin2', 'Admin2', 'Admin2', 'Admin2']","['Ilocos Region', 'Cagayan Valley', 'Autonomous Region in Muslim Mindanao', 'Southern Tagalog', 'Soccsksargen']","['Piddig', 'Isabela City', 'Datu Odin Sinsuat', 'Romblon', 'Kalamansig']",llm_wiki,GAUL,4,geodetic,0.0,28135517265.161236,0.0,28135517265.161236,0.0,0.0,0.0,False,False,False,False
2003-0391-SVK,"['Banská Bystrica', 'Bratislava', 'Košice', 'Nitra', 'Prešov', 'Trenčín', 'Trnava', 'Žilina']","['Admin1', 'Admin1', 'Admin1', 'Admin1', 'Admin1', 'Admin1', 'Admin1', 'Admin1']","['Banskobystrický', 'Bratislavský', 'Košický', 'Nitriansky', 'Banskobystrický', 'Banskobystrický', 'Trnavský', 'Banskobystrický']","[None, None, None, None, None, None, None, None]",llm_wiki,GAUL,4,geodetic,0.0,49071966360.21284,0.0,49071966360.21284,0.0,0.0,0.0,False,True,False,True
2003-0439-HTI,['Saint-Marc'],['Admin2'],['Artibonite'],['Saint-Marc'],llm_wiki,GAUL,4,geodetic,0.0,1051715011.0536296,0.0,0.0,0.0,0.0,0.0,False,True,False,True
2003-0490-NZL,['Kapiti Coast'],['Admin2'],['Wellington'],['Kapiti Coast'],llm_wiki,GAUL,4,geodetic,0.0,9667288233.896671,0.0,0.0,0.0,0.0,0.0,False,False,False,False
2003-0560-AUS,['Sydney'],['Admin3'],['New South Wales'],[None],llm_wiki,GAUL,4,geodetic,0.0,26725648.038089886,0.0,0.0,0.0,0.0,0.0,False,True,False,True
2003-0563-RWA,"['Nyagatare', 'Byumba']","['Admin2', 'Admin3']","['East', 'North']","['Nyagatare', None]",llm_wiki,GAUL,4,geodetic,0.0,2748804794.6633263,0.0,2748804794.6633263,0.0,0.0,0.0,False,True,False,True
2003-0566-COD,['Kisangani'],['Admin2'],['Orientale'],['Kisangani'],llm_wiki,GAUL,4,geodetic,0.0,2193752466.369938,0.0,0.0,0.0,0.0,0.0,False,True,False,True
2003-0585-MKD,"['Strumica', 'Gradsko Baldovci']","['Admin1', 'Admin2']","['Strumitsa', 'Strumica']","[None, None]",llm_wiki,GAUL,4,geodetic,0.0,93083595.73783994,0.0,93083595.73783994,0.0,0.0,0.0,False,False,False,False
2003-0586-FRA,"['Ardèche', 'Bouches-du-Rhône', 'Gard', 'Hérault', 'Loire', 'Vaucluse']","['Admin1', 'Admin1', 'Admin1', 'Admin1', 'Admin1', 'Admin1']","['Auvergne-Rhône-Alpes', 'Occitanie', 'Auvergne-Rhône-Alpes', 'Occitanie', 'Auvergne-Rhône-Alpes', 'Auvergne-Rhône-Alpes']","[None, None, None, None, None, None]",llm_wiki,GAUL,4,geodetic,0.0,20827869964.940792,0.0,20827869964.940792,0.0,0.0,0.0,False,False,False,False
2003-0602-MDG,"['Ambanja', 'Antalaha']","['Admin2', 'Admin2']","['Diana', 'Sava']","['Diana', 'Sava']",llm_wiki,GAUL,4,geodetic,0.0,12551478278.11483,0.0,12551478278.11483,0.0,0.0,0.0,False,True,False,True
2003-0615-AUS,['Melbourne'],['Admin3'],['Victoria'],[None],llm_wiki,GAUL,4,geodetic,0.0,37355660.72275877,0.0,0.0,0.0,0.0,0.0,False,True,False,True
2003-0683-IND,"['Angul', 'Cuttack', 'Ganjam', 'Jagatsinghpur', 'Jajpur', 'Kendrapara', 'Koraput', 'Nayagarh', 'Puri', 'Rayagada', 'Sonepur']","['Admin2', 'Admin2', 'Admin2', 'Admin2', 'Admin2', 'Admin2', 'Admin2', 'Admin2', 'Admin2', 'Admin2', 'Admin2']","['Orissa', 'Orissa', 'Orissa', 'Orissa', 'Orissa', 'Orissa', 'Orissa', 'Orissa', 'Orissa', 'Orissa', 'Orissa']","['Anugul', 'Cuttack', 'Ganjam', 'Jagatsinghapur', 'Jajapur', 'Kendrapara', 'Koraput', 'Nayagarh', 'Puri', 'Rayagada', 'Subarnapur']",llm_wiki,GAUL,4,geodetic,0.0,75869783707.37689,0.0,75869783707.37689,0.0,0.0,0.0,False,True,False,True
2003-0728-MWI,"['Mzimba', 'Rumphi']","['Admin2', 'Admin2']","['Northern Region', 'Northern Region']","['Mzimba Boma', 'Rumphi Boma']",llm_wiki,GAUL,4,geodetic,0.0,15243178115.318531,0.0,15243178115.318531,0.0,0.0,0.0,False,True,False,True
2003-0729-KEN,['Kisumu'],['Admin2'],['Nyanza'],['Kisumu Central'],llm_wiki,GAUL,4,geodetic,0.0,648055064.3297265,0.0,0.0,0.0,0.0,0.0,False,True,False,True
2003-0752-COM,['Fomboni'],['Admin2'],['Moheli'],[None],llm_wiki,GAUL,4,geodetic,0.0,209820512.05906644,0.0,0.0,0.0,0.0,0.0,False,True,False,True
2003-0790-IND,['Jammu and Kashmir'],['Admin1'],['Jammu and Kashmir'],[None],llm_wiki,GAUL,4,geodetic,0.0,158902329.88083008,0.0,0.0,0.0,0.0,0.0,False,False,False,False
2003-0795-IND,['Thathri'],['Admin3'],['Jammu and Kashmir'],[None],llm_wiki,GAUL,4,geodetic,0.0,11208999179.722008,0.0,0.0,0.0,0.0,0.0,False,True,False,True
2003-0822-PHL,"['Calabarzon', 'Eastern Visayas']","['Admin1', 'Admin1']","['Aurora', 'Biliran']","[None, None]",llm_wiki,GAUL,4,geodetic,0.0,47943447875.42705,0.0,47943447875.42705,0.0,0.0,0.0,False,False,False,False
2003-0823-PHL,"['Bicol Region', 'Eastern Visayas', 'Northern Mindanao']","['Admin1', 'Admin1', 'Admin1']","['Albay', 'Biliran', 'Agusan del Norte']","[None, None, None]",llm_wiki,GAUL,4,geodetic,0.0,55723682970.87824,0.0,55723682970.87824,0.0,0.0,0.0,False,False,False,False
2003-0824-PHL,['Central Luzon'],['Admin1'],['Aurora'],[None],llm_wiki,GAUL,4,geodetic,0.0,20812170582.577362,0.0,0.0,0.0,0.0,0.0,False,True,False,True
2003-0825-PHL,['Ilocos Region'],['Admin1'],['Abra'],[None],llm_wiki,GAUL,4,geodetic,0.0,12641033077.423765,0.0,0.0,0.0,0.0,0.0,False,True,False,True
2003-0826-PHL,['Central Luzon'],['Admin1'],['Aurora'],[None],llm_wiki,GAUL,4,geodetic,0.0,21525586672.44008,0.0,0.0,0.0,0.0,0.0,False,True,False,True
2003-9651-RWA,"['Gatsibo', 'Huye', 'Muhanga', 'Nyagatare', 'Nyanza', 'Ruhango', 'Kibungo']","['Admin2', 'Admin2', 'Admin2', 'Admin2', 'Admin2', 'Admin2', 'Admin3']","['East', 'South', 'South', 'East', 'South', 'South', 'East']","['Gatsibo', 'Huye', 'Muhanga', 'Nyagatare', 'Nyanza', 'Ruhango', None]",llm_wiki,GAUL,4,geodetic,0.0,11613929640.146313,0.0,11613929640.146313,0.0,0.0,0.0,False,True,False,True
