dis_no,name,admin_level,admin1,admin2,geom_type_a,geom_type_b,batch_number,area_calculation_method,area_a,area_b,intersection_area,union_area,a_in_b,b_in_a,jaccard,a_contains_b,b_contains_a,a_contains_b_properly,b_contains_a_properly
2018-0255-MMR,Magway,Admin1,Magway,,llm_wiki,GDIS,4,geodetic,0.0,294842715910.9199,0.0,0.0,0.0,0.0,0.0,False,True,False,True
2018-0255-MMR,Sagaing,Admin1,Sagaing,,llm_wiki,GDIS,4,geodetic,0.0,294842715910.9199,0.0,0.0,0.0,0.0,0.0,False,True,False,True
2018-0255-MMR,Tanintharyi,Admin1,Tanintharyi,,llm_wiki,GDIS,4,geodetic,0.0,294842715910.9199,0.0,0.0,0.0,0.0,0.0,False,True,False,True
2018-0267-IND,Rajasthan,Admin1,Rajasthan,,llm_wiki,GDIS,4,geodetic,0.0,582653210460.125,0.0,0.0,0.0,0.0,0.0,False,True,False,True
2018-0267-IND,Uttar Pradesh,Admin1,Uttar Pradesh,,llm_wiki,GDIS,4,geodetic,0.0,582653210460.125,0.0,0.0,0.0,0.0,0.0,False,True,False,True
2018-0321-SLV,Chirilagua,Admin2,San Miguel,Chirilagua,llm_wiki,GDIS,4,geodetic,0.0,302727424.6422021,0.0,0.0,0.0,0.0,0.0,False,True,False,True
2018-0321-SLV,Intipucá,Admin2,La Unión,Intipucá,llm_wiki,GDIS,4,geodetic,0.0,302727424.6422021,0.0,0.0,0.0,0.0,0.0,False,True,False,True
2018-0326-JPN,Hyōgo,Admin1,Hyōgo,,llm_wiki,GDIS,4,geodetic,0.0,14944902493.608086,0.0,0.0,0.0,0.0,0.0,False,True,False,True
2018-0326-JPN,Osaka,Admin1,Osaka,,llm_wiki,GDIS,4,geodetic,0.0,14944902493.608086,0.0,0.0,0.0,0.0,0.0,False,True,False,True
2018-0326-JPN,Wakayama,Admin1,Wakayama,,llm_wiki,GDIS,4,geodetic,0.0,14944902493.608086,0.0,0.0,0.0,0.0,0.0,False,True,False,True
2018-0328-ETH,Isara,Admin3,SNNP,,llm_wiki,GDIS,4,geodetic,0.0,108950951966.11757,0.0,0.0,0.0,0.0,0.0,False,True,False,True
2018-0345-IND,Charaideo,Admin2,Assam,Dibrugarh,llm_wiki,GDIS,4,geodetic,0.0,99907823434.86954,0.0,0.0,0.0,0.0,0.0,False,True,False,True
2018-0345-IND,Dhemaji,Admin2,Assam,Dhemaji,llm_wiki,GDIS,4,geodetic,0.0,99907823434.86954,0.0,0.0,0.0,0.0,0.0,False,True,False,True
2018-0345-IND,Golaghat,Admin2,Assam,Golaghat,llm_wiki,GDIS,4,geodetic,0.0,99907823434.86954,0.0,0.0,0.0,0.0,0.0,False,True,False,True
2018-0345-IND,Udalguri,Admin2,Assam,Udalguri,llm_wiki,GDIS,4,geodetic,0.0,99907823434.86954,0.0,0.0,0.0,0.0,0.0,False,True,False,True
2018-0352-IDN,Palu,Admin2,Central Sulawesi,Palu,llm_wiki,GDIS,4,geodetic,0.0,21853217599.9198,0.0,0.0,0.0,0.0,0.0,False,True,False,True
2018-0352-IDN,Parigi Moutong,Admin2,Central Sulawesi,Parigi Moutong,llm_wiki,GDIS,4,geodetic,0.0,21853217599.9198,0.0,0.0,0.0,0.0,0.0,False,True,False,True
2018-0352-IDN,Poso,Admin2,Central Sulawesi,Poso,llm_wiki,GDIS,4,geodetic,0.0,21853217599.9198,0.0,0.0,0.0,0.0,0.0,False,True,False,True
2018-0352-IDN,Sigi,Admin2,Central Sulawesi,Sigi,llm_wiki,GDIS,4,geodetic,0.0,21853217599.9198,0.0,0.0,0.0,0.0,0.0,False,True,False,True
2018-0364-TUN,Nabeul,Admin1,Nabeul,,llm_wiki,GDIS,4,geodetic,0.0,2852818711.923244,0.0,0.0,0.0,0.0,0.0,False,True,False,True
2018-0364-TUN,Tunis,Admin1,Tunis,,llm_wiki,GDIS,4,geodetic,0.0,2852818711.923244,0.0,0.0,0.0,0.0,0.0,False,False,False,False
2018-0365-NGA,Kogi,Admin1,Kogi,,llm_wiki,GDIS,4,geodetic,0.0,121173894061.68623,0.0,0.0,0.0,0.0,0.0,False,True,False,True
2018-0366-CAN,Quebec,Admin1,Québec,,llm_wiki,GDIS,4,geodetic,0.0,1522821732287.3303,0.0,0.0,0.0,0.0,0.0,False,True,False,True
2018-0366-CAN,Ottawa,Admin3,Ontario,,llm_wiki,GDIS,4,geodetic,0.0,1522821732287.3303,0.0,0.0,0.0,0.0,0.0,False,True,False,True
2018-0367-MEX,Chihuahua,Admin1,Chihuahua,,llm_wiki,GDIS,4,geodetic,0.0,478746070437.0108,0.0,0.0,0.0,0.0,0.0,False,True,False,True
2018-0367-MEX,Sinaloa,Admin1,Sinaloa,,llm_wiki,GDIS,4,geodetic,0.0,478746070437.0108,0.0,0.0,0.0,0.0,0.0,False,True,False,True
2018-0367-MEX,Sonora,Admin1,Sonora,,llm_wiki,GDIS,4,geodetic,0.0,478746070437.0108,0.0,0.0,0.0,0.0,0.0,False,True,False,True
2018-0397-FRA,Provence-Alpes-Côte d'Azur,Admin1,Provence-Alpes-Côte d'Azur,,llm_wiki,GDIS,4,geodetic,0.0,40684839606.15547,0.0,0.0,0.0,0.0,0.0,False,True,False,True
2018-0397-ITA,Emilia-Romagna,Admin1,Emilia-Romagna,,llm_wiki,GDIS,4,geodetic,0.0,131732137026.72615,0.0,0.0,0.0,0.0,0.0,False,True,False,True
2018-0397-ITA,Piemonte,Admin1,Piemonte,,llm_wiki,GDIS,4,geodetic,0.0,131732137026.72615,0.0,0.0,0.0,0.0,0.0,False,False,False,False
2018-0397-ITA,Toscana,Admin1,Toscana,,llm_wiki,GDIS,4,geodetic,0.0,131732137026.72615,0.0,0.0,0.0,0.0,0.0,False,False,False,False
2018-0397-ITA,Veneto,Admin1,Veneto,,llm_wiki,GDIS,4,geodetic,0.0,131732137026.72615,0.0,0.0,0.0,0.0,0.0,False,False,False,False
2018-0397-ITA,Agrigento,Admin2,Sicilia,Agrigento,llm_wiki,GDIS,4,geodetic,0.0,131732137026.72615,0.0,0.0,0.0,0.0,0.0,False,False,False,False
2018-0397-ITA,Belluno,Admin2,Veneto,Belluno,llm_wiki,GDIS,4,geodetic,0.0,131732137026.72615,0.0,0.0,0.0,0.0,0.0,False,True,False,True
2018-0397-ITA,Bolzano,Admin2,Trentino-Alto Adige/Südtirol,Bolzano,llm_wiki,GDIS,4,geodetic,0.0,131732137026.72615,0.0,0.0,0.0,0.0,0.0,False,True,False,True
2018-0397-ITA,Naples,Admin2,Campania,Napoli,llm_wiki,GDIS,4,geodetic,0.0,131732137026.72615,0.0,0.0,0.0,0.0,0.0,False,True,False,True
2018-0397-ITA,Trento,Admin2,Trentino-Alto Adige/Südtirol,Trento,llm_wiki,GDIS,4,geodetic,0.0,131732137026.72615,0.0,0.0,0.0,0.0,0.0,False,True,False,True
2018-0397-ITA,Palermo,Admin3,Sicilia,,llm_wiki,GDIS,4,geodetic,0.0,131732137026.72615,0.0,0.0,0.0,0.0,0.0,False,False,False,False
2018-0399-PHL,Apayao,Admin1,Apayao,,llm_wiki,GDIS,4,geodetic,0.0,74838806752.39713,0.0,0.0,0.0,0.0,0.0,False,True,False,True
2018-0399-PHL,Aurora,Admin1,Aurora,,llm_wiki,GDIS,4,geodetic,0.0,74838806752.39713,0.0,0.0,0.0,0.0,0.0,False,True,False,True
2018-0399-PHL,Benguet,Admin1,Benguet,,llm_wiki,GDIS,4,geodetic,0.0,74838806752.39713,0.0,0.0,0.0,0.0,0.0,False,True,False,True
2018-0399-PHL,Cagayan,Admin1,Cagayan,,llm_wiki,GDIS,4,geodetic,0.0,74838806752.39713,0.0,0.0,0.0,0.0,0.0,False,True,False,True
2018-0399-PHL,Ifugao,Admin1,Ifugao,,llm_wiki,GDIS,4,geodetic,0.0,74838806752.39713,0.0,0.0,0.0,0.0,0.0,False,True,False,True
2018-0399-PHL,Ilocos Norte,Admin1,Ilocos Norte,,llm_wiki,GDIS,4,geodetic,0.0,74838806752.39713,0.0,0.0,0.0,0.0,0.0,False,True,False,True
